Subject iri	Subject label	Predicate iri	Predicate label	Expression	Object iri	Object label
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0000467	Neck muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0030319	Weakness of facial musculature
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0007715	Weak extraocular muscles
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0000597	Ophthalmoparesis
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0004878	Intercostal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009023	Abdominal wall muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003327	Axial muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003722	Neck flexor weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002141	Gait imbalance
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002172	Postural instability
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002317	Unsteady gait
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003551	Difficulty climbing stairs
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0033235	Difficulty descending stairs
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008994	Proximal muscle weakness in lower limbs
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003749	Pelvic girdle muscle weakness / Hip girdle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003731	Quadriceps muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0033416	Hip adductor weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012515	Hip flexor weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008997	Proximal muscle weakness in upper limbs
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003547	Shoulder girdle muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031108	Triceps weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009053	Distal lower limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009027	Foot dorsiflexor weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0011727	Peroneal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008963	Tibialis muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031374	Ankle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0008959	Distal upper limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0030237	Hand muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009077	Weakness of long finger extensor muscles
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009005	Weakness of the intrinsic hand muscles
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031177	Finger flexor weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003392	First dorsal interossei muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003427	Thenar muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003701	Proximal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002460	Distal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0007340	Lower limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003484	Upper limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003325	Limb-girdle muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003690	Limb muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009063	Progressive distal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0009073	Progressive proximal muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001324	Muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0003323	Progressive muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0005216	Impaired mastication
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0030842	Choking episodes
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031146	Impaired oral bolus formation
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031162	Impaired oropharyngeal swallow response
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0032043	Odynophagia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002015	Dysphagia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002068	Neuromuscular dysphagia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0200136	Oral-pharyngeal dysphagia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002098	Respiratory distress
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002094	Dyspnea
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002747	Respiratory insufficiency due to muscle weakness
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0002093	Respiratory insufficiency
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0004347	Weakness of muscles of respiration
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0032341	Reduced forced vital capacity
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001288	Gait disturbance
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0000651	Diplopia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001618	Dysphonia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0001609	Hoarse voice
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0033695	Occupational disability
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012378	Fatigue
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0031058	Impairment of activities of daily living
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0000602	Ophthalmoplegia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0000544	External ophthalmoplegia
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0012531	Pain
http://www.orpha.net/ORDO/Orphanet_270	OPMD	RO:0004029	disease has feature	some	HP:0033667	Diminished mental health
