DISEASE GROUP	DISEASE NAME	ORPHA CODE	OMIM CODE
CM	Congenital myopathy	ORPHA:97245	
CM	Congenital fiber-type disproportion myopathy	ORPHA:2020	OMIM:255310
CM	Centronuclear myopathy	ORPHA:595	
CM	X-linked centronuclear myopathy	ORPHA:596	OMIM:310400
CM	X-linked myotubular myopathy-abnormal genitalia syndrome	ORPHA:456328	OMIM:300219
CM	Symptomatic form of X-linked centronuclear myopathy in female carriers	ORPHA:604680	
CM	Congenital myopathy with internal nuclei and atypical cores	ORPHA:319160	OMIM:614807
CM	Zebra body myopathy	ORPHA:97240	
CM	Congenital myopathy with excess of thin filaments	ORPHA:98904	
CM	King-Denborough syndrome	ORPHA:99741	
CM	Congenital myopathy with cores	ORPHA:172976	
CM	Central core disease	ORPHA:597	OMIM:117000
CM	Multiminicore myopathy	ORPHA:598	
CM	Congenital multicore myopathy with external ophthalmoplegia	ORPHA:98905	OMIM:255320
CM	Moderate multiminicore disease with hand involvement	ORPHA:178145	
CM	Classic multiminicore myopathy	ORPHA:324604	
CM	Congenital myopathy with myasthenic-like onset	ORPHA:424107	
CM	Congenital nemaline myopathy	ORPHA:457074	
CM	Severe congenital nemaline myopathy	ORPHA:171430	
CM	Intermediate nemaline myopathy	ORPHA:171433	
CM	Typical nemaline myopathy	ORPHA:171436	
CM	Congenital Myopathy 2B, severe infantile, autosomal recessive ; CMYO2B 		OMIM:620265
CM	Congenital Myopathy 2C, severe infantile, autosomal dominant ; CMYO2C		OMIM:620278
CM	Congenital Myopathy 5 with cardiomyopathy ; CMYO5 	ORPHA:289377	OMIM:611705
CM	Minicore myopathy with external ophthalmoplegia	ORPHA:98905	OMIM:255320
CM	Arthrogryposis multiplex congenita 6		OMIM:619334
CM	Childhood-onset nemaline myopathy	ORPHA:171439	
CM	Distal nebulin myopathy	ORPHA:399103	
CM	Nemaline myopathy 2, autosomal recessive		OMIM:256030
CM	Myopathy, scapulohumeroperoneal	ORPHA:447977	OMIM:616852
CM	Nemaline myopathy 3		OMIM:161800
CM	Rigid spine syndrome	ORPHA:97244	
CM	Rigid spine muscular dystrophy 1		OMIM:602771
OPMD	Oculopharyngeal Muscular Dystrophy	ORPHA:270	OMIM:164300
CMS	Congenital myasthenic syndrome	ORPHA:590	
CMS	Postsynaptic congenital myasthenic syndromes	ORPHA:98913	
CMS	Synaptic congenital myasthenic syndromes	ORPHA:98915	
CMS	Congenital myasthenic syndromes with glycosylation defect	ORPHA:353327	
CMS	Myasthenic syndrome, congenital, 4A, slow-channel		OMIM:605809
CMS	Myasthenic syndrome, congenital, 4B, fast-channel		OMIM:616324
CMS	Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency		OMIM:608931
CMS	Fetal akinesia deformation sequence 3		OMIM:618389
CMS	Myasthenia, limb-girdle, familial		OMIM:254300
CMS	Myasthenic syndrome, congenital, 5		OMIM:603034
CMS	Fetal akinesia deformation sequence 2		OMIM:618388
CMS	Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency		OMIM:616326
CMS	Myasthenic syndrome, congenital, with tubular aggregates 1		OMIM:610542
CMS	GMPPB-related limb-girdle muscular dystrophy R19	ORPHA:363623	OMIM:615352 
CMS	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14		OMIM:615350
CMS	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 14		OMIM:615351
CMS	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14	ORPHA:363623	OMIM:615352
