Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000002	PABPN1 mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000003	RYR1 mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000004	TTN mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000005	NEB mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000006	MTM1 mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000007	ACTA1 mutation
ORDO:97245	Congenital myopathy	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000008	SELENON mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000009	CHRNE mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000010	DOK7 mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000011	COLQ mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000012	RAPSN mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000013	GFPT1 mutation
ORDO:590	Congenital myasthenic syndrom	RO:0004003 	has material basis in germline mutation in 	Min 0	PROMOT:0000014	GMPPB mutation
PROMOT:0000002	PABPN1 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:270	Oculopharyngeal muscular dystrophy
PROMOT:0000003	RYR1 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000004	TTN mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000005	NEB mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000006	MTM1 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000007	ACTA1 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000008	SELENON mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:97245	Congenital myopathy
PROMOT:0000009	CHRNE mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
PROMOT:0000010	DOK7 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
PROMOT:0000011	COLQ mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
PROMOT:0000012	RAPSN mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
PROMOT:0000013	GFPT1 mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
PROMOT:0000014	GMPPB mutation	RO:0004013 	is causal germline mutation in 	Min 0	ORDO:590	Congenital myasthenic syndrom
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0000467	Neck muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0030319	Weakness of facial musculature
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0007715	Weak extraocular muscles
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0000597	Ophthalmoparesis
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0004878	Intercostal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0009023	Abdominal wall muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0003327	Axial muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0003722	Neck flexor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0002141	Gait imbalance
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0002172	Postural instability
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0002317	Unsteady gait
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0003551	Difficulty climbing stairs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0033235	Difficulty descending stairs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	Min 0	HP:0008994	Proximal muscle weakness in lower limbs
