Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
FMA:9620	Muscle of abdomen	RO:0002328	fonctionally related to	some	PROMOT:0032024	Endurance of abdominal muscle
FMA:37370	Muscle of arm	RO:0002328	fonctionally related to	some	PROMOT:0032025	Endurance of arm muscle
FMA:46834	Buccinator	RO:0002328	fonctionally related to	some	PROMOT:0032026	Endurance of buccinator
FMA:13295	Diaphragm 	RO:0002328	fonctionally related to	some	PROMOT:0032027	Endurance of diaphragm
FMA:38500	Extensor digitorum	RO:0002328	fonctionally related to	some	PROMOT:0032028	Endurance of extensor digitorum
FMA:49033	Extra-ocular muscle	RO:0002328	fonctionally related to	some	PROMOT:0032029	Endurance of extra-ocular muscle
FMA:46751	Muscle of face	RO:0002328	fonctionally related to	some	PROMOT:0032030	Endurance of facial muscle
FMA:37424	First dorsal interosseous of hand	RO:0002328	fonctionally related to	some	PROMOT:0032031	Endurance of first dorsal interosseous of hand
FMA:37369	Muscle of foot	RO:0002328	fonctionally related to	some	PROMOT:0032032	Endurance of foot muscle
FMA:37371	Muscle of forearm	RO:0002328	fonctionally related to	some	PROMOT:0032033	Endurance of forearm muscle
FMA:37372	Muscle of hand	RO:0002328	fonctionally related to	some	PROMOT:0032034	Endurance of hand muscle
FMA:13354	Intercostal Muscle	RO:0002328	fonctionally related to	some	PROMOT:0032035	Endurance of intercostal muscle
FMA:74081	Set of intercostal muscles	RO:0002328	fonctionally related to	some	PROMOT:0032036	Endurance of a set of intercostal muscles
FMA:42380	Intrinsic muscle of hand	RO:0002328	fonctionally related to	some	PROMOT:0032037	Endurance of intrinsic muscle of hand
FMA:22471	Muscle of leg	RO:0002328	fonctionally related to	some	PROMOT:0032038	Endurance of leg muscle
FMA:48996	Masseter	RO:0002328	fonctionally related to	some	PROMOT:0032039	Endurance of masseter
FMA:71437	Set of masticatory muscles	RO:0002328	fonctionally related to	some	PROMOT:0032040	Endurance of a set of masticatory muscles
FMA:46619	Muscle of pharynx 	RO:0002328	fonctionally related to	some	PROMOT:0032041	Endurance of muscle of pharynx
FMA:58274	Muscle of trunk	RO:0002328	fonctionally related to	some	PROMOT:0032042	Endurance of muscle of trunk
FMA:9617	Muscle of neck	RO:0002328	fonctionally related to	some	PROMOT:0032043	Endurance of neck muscle
