Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
FMA:13295	Diaphragm 	RO:0000091	has disposition	some	HP:0030196	Fatigable weakness of respiratory muscles 
FMA:13354	Intercostal Muscle	RO:0000091	has disposition	some	HP:0004878	Intercostal muscle weakness
FMA:13354	Intercostal Muscle	RO:0000091	has disposition	some	PROMOT:0032014	Axial fatigable weakness
FMA:13354	Intercostal Muscle	RO:0000091	has disposition	some	HP:0003327	Axial muscle weakness
FMA:13379	Rhomboid major	RO:0000091	has disposition	some	HP:0003691	Scapular winging
FMA:13380	Rhomboid minor	RO:0000091	has disposition	some	HP:0003691	Scapular winging
FMA:13397	Serratus anterior	RO:0000091	has disposition	some	HP:0003691	Scapular winging
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0008994	Proximal muscle weakness in lower limbs
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0003731	Quadriceps muscle weakness
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:22428	Quatriceps femoris 	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0009053	Distal lower limb muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0011727	Peroneal muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0031374	Ankle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0030198	Fatigable weakness of distal limb muscles
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:22471	Muscle of leg	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0009053	Distal lower limb muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0008963	Tibialis muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:22532	Tibialis anterior	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:323229	Pterygoid muscle	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:323229	Pterygoid muscle	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:323229	Pterygoid muscle	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0008997	Proximal muscle weakness in upper limbs
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003547	Shoulder girdle muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003325	Limb-girdle muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:33531	Muscle of shoulder	RO:0000091	has disposition	some	HP:0003691	Scapular winging
FMA:35178	Hip joint	RO:0000091	has disposition	some	HP:0001374	Congenital hip dislocation
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0008994	Proximal muscle weakness in lower limbs
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0003749	Pelvic girdle muscle weakness
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:37367	Muscle of pelvic girdle	RO:0000091	has disposition	some	HP:0003325	Limb-girdle muscle weakness
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0008988	Pelvic girdle muscle atrophy
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:37367	Muscle of pelvic gridle	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0009053	Distal lower limb muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0009027	Foot dorsiflexor weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0030198	Fatigable weakness of distal limb muscles
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:37369	Muscle of foot	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0008997	Proximal muscle weakness in upper limbs
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:37370	Muscle of arm	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0030198	Fatigable weakness of distal limb muscles
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:37371	Muscle of forearm	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0030237	Hand muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0031177	Finger flexor weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0033466	Weak grip
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0030198	Fatigable weakness of distal limb muscles
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:37372	Muscle of hand	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0003392	First dorsal interossei muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:37424	First dorsal interosseous of hand	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0008997	Proximal muscle weakness in upper limbs
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0031108	Triceps weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:37688	Triceps brachii	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0009077	Weakness of long finger extensor muscles
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:38500	Extensor digitorum	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0009005	Weakness of the intrinsic hand muscles
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:42380	Intrinsic muscle of hand	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:46619	Muscle of pharynx 	RO:0000091	has disposition	some	HP:0002483	Bulbar signs
FMA:46619	Muscle of pharynx 	RO:0000091	has disposition	some	HP:0030192	Fatigable weakness of bulbar muscles 
FMA:46619	Muscle of pharynx 	RO:0000091	has disposition	some	HP:0030195	Fatigable weakness of swallowing muscles 
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	HP:0000183	Tongue muscle weakness
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	HP:0012473	Tongue atrophy
FMA:46689	Muscle of tongue	RO:0000091	has disposition	some	PROMOT:0032024	Fatigable weakness of tongue muscle
FMA:46751	Muscle of face	RO:0000091	has disposition	some	HP:0030319	Weakness of facial musculature
FMA:46751	Muscle of face	RO:0000091	has disposition	some	PROMOT:0032012	Fatigable weakness of facial musculature
FMA:46834	Buccinator	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:46834	Buccinator	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:46834	Buccinator	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:48996	Masseter	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:48996	Masseter	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:48996	Masseter	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:49006	Temporalis	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:49006	Temporalis	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:49006	Temporalis	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0007715	Weak extraocular muscles
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000597	Ophthalmoparesis
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	PROMOT:0032013	Fatigable weakness of the ocular muscles
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000651	Diplopia
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000602	Ophthalmoplegia
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000544	External ophthalmoplegia
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000508	Ptosis
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000496	Abnormality of eye movement
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0007941	Limited extraocular movements
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0000486	Strabismus
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	HP:0007838	Progressive ptosis
FMA:49033	Extra-ocular muscle	RO:0000091	has disposition	some	PROMOT:0032016	Fatigable ptosis 
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0008994	Proximal muscle weakness in lower limbs
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0033416	Hip adductor weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0012515	Hip flexor weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0003701	Proximal muscle weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0009073	Progressive proximal muscle weakness
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0009028	Generalized weakness of limb muscles
FMA:50208	Musculature of thigh	RO:0000091	has disposition	some	HP:0003694	Late-onset proximal muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0009053	Distal lower limb muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0008963	Tibialis muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0007340	Lower limb muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:51099	Tibialis posterior	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:58274	Muscle of trunk	RO:0000091	has disposition	some	HP:0009023	Abdominal wall muscle weakness
FMA:58274	Muscle of trunk	RO:0000091	has disposition	some	PROMOT:0032014	Axial fatigable weakness
FMA:58274	Muscle of trunk	RO:0000091	has disposition	some	HP:0003327	Axial muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0003427	Thenar muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0002460	Distal muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0003484	Upper limb muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0003690	Limb muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0009063	Progressive distal muscle weakness
FMA:64916	Thenar muscle	RO:0000091	has disposition	some	HP:0003810	Late-onset distal muscle weakness
FMA:67169	Set of pharyngeal muscles	RO:0000091	has disposition	some	HP:0002483	Bulbar signs
FMA:67169	Set of pharyngeal muscles	RO:0000091	has disposition	some	HP:0030192	Fatigable weakness of bulbar muscles 
FMA:67169	Set of pharyngeal muscles	RO:0000091	has disposition	some	HP:0030195	Fatigable weakness of swallowing muscles 
FMA:7088	Heart	RO:0000091	has disposition	some	HP:0001627	Abnormal heart morphology
FMA:7088	Heart	RO:0000091	has disposition	some	HP:0030872	Abnormal cardiac ventricular function
FMA:7088	Heart	RO:0000091	has disposition	some	HP:0001713	Abnormal cardiac ventricle morphology
FMA:7088	Heart	RO:0000091	has disposition	some	HP:0001638	Cardiomyopathy  
FMA:71437	Set of masticatory muscles	RO:0000091	has disposition	some	HP:0005216	Impaired mastication
FMA:71437	Set of masticatory muscles	RO:0000091	has disposition	some	HP:0030193	Fatigable weakness of chewing muscles
FMA:71437	Set of masticatory muscles	RO:0000091	has disposition	some	PROMOT:0032015	Weakness of chewing muscles
FMA:74081	Set of intercostal muscles	RO:0000091	has disposition	some	HP:0030196	Fatigable weakness of respiratory muscles 
FMA:7490	Joint	RO:0000091	has disposition	some	HP:0002828	Multiple joint contractures
FMA:7490	Joint	RO:0000091	has disposition	some	HP:0001387	Joint stiffness
FMA:7490	Joint	RO:0000091	has disposition	some	HP:0002804	Arthrogryposis multiplex congenita
FMA:9617	Muscle of neck	RO:0000091	has disposition	some	HP:0000467	Neck muscle weakness
FMA:9617	Muscle of neck	RO:0000091	has disposition	some	HP:0003722	Neck flexor weakness
FMA:9617	Muscle of neck	RO:0000091	has disposition	some	HP:0030199	Fatigable weakness of neck muscles 
FMA:9620	Muscle of abdomen	RO:0000091	has disposition	some	HP:0009023	Abdominal wall muscle weakness
FMA:9620	Muscle of abdomen	RO:0000091	has disposition	some	PROMOT:0032014	Axial fatigable weakness
FMA:9620	Muscle of abdomen	RO:0000091	has disposition	some	HP:0003327	Axial muscle weakness
FMA:9626	Trapezius 	RO:0000091	has disposition	some	HP:0003691	Scapular winging
