Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:2067741200	Testes and scrotum	RO:0000091	has disposition	some	HP:0000028	Cryptorchidism
ICF:1874889854	Muscles of head and neck region	RO:0000091	has disposition	some	HP:0000183	Tongue muscle weakness
ICF:374222990	Structure of palate	RO:0000091	has disposition	some	HP:0000218	High palate
ICF:862003070	Bones of cranium	RO:0000091	has disposition	some	HP:0000276	Long face
ICF:608795582	Bones of face	RO:0000091	has disposition	some	HP:0000276	Long face
ICF:1874889854	Muscles of head and neck region	RO:0000091	has disposition	some	HP:0000467	Neck muscle weakness
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000486	Strabismus
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000496	Abnormality of eye movement
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000508	Ptosis
ICF:1874889854	Muscles of head and neck region	RO:0000091	has disposition	some	HP:0000508	Ptosis
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000544	External ophthalmoplegia
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000597	Ophthalmoparesis
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000602	Ophthalmoplegia
ICF:405925948	External ocular muscles	RO:0000091	has disposition	some	HP:0000651	Diplopia
ICF:178625206	Thoracic cage	RO:0000091	has disposition	some	HP:0000767	Pectus excavatum
ICF:723417607	Structure of trunk 	RO:0000091	has disposition	some	HP:0000767	Pectus excavatum
ICF:213893837	Bones	RO:0000091	has disposition	some	HP:0000767	Pectus excavatum
ICF:902262669	Extra-articular ligaments, fasciae, extramuscular aponeuroses, retinacula, septa, bursae, unspecified	RO:0000091	has disposition	some	HP:0000767	Pectus excavatum
ICF:178625206	Thoracic cage	RO:0000091	has disposition	some	HP:0000768	Pectus carinatum
ICF:723417607	Structure of trunk 	RO:0000091	has disposition	some	HP:0000768	Pectus carinatum
ICF:213893837	Bones	RO:0000091	has disposition	some	HP:0000768	Pectus carinatum
ICF:902262669	Extra-articular ligaments, fasciae, extramuscular aponeuroses, retinacula, septa, bursae, unspecified	RO:0000091	has disposition	some	HP:0000768	Pectus carinatum
ICF:178625206	Thoracic cage	RO:0000091	has disposition	some	HP:0000774	Narrow chest
ICF:723417607	Structure of trunk 	RO:0000091	has disposition	some	HP:0000774	Narrow chest
