Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003458	EMG: myopathic abnormalities
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012497	Reduced maximal expiratory pressure 
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0005216	Impaired mastication
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0030842	Choking episodes
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0031146	Impaired oral bolus formation
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0032043	Odynophagia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0031162	Impaired oropharyngeal swallow response
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012735	Cough
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0033466	Weak grip
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0008988	Pelvic girdle muscle atrophy
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001260	Dysarthria
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001611	Hypernasal speech
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003236	Elevated circulating creatine kinase concentration
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0007838	Progressive ptosis
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0011968	Feeding difficulties
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012473	Tongue atrophy
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000467	Neck muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002460	Distal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003325	Limb-girdle muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003327	Axial muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003690	Limb muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003701	Proximal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0030319	Weakness of facial musculature
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000508	Ptosis
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000602	Ophthalmoplegia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001288	Gait disturbance
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001618	Dysphonia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012378	Fatigue
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012531	Pain
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002015	Dysphagia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001324	Muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003551	Difficulty climbing stairs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0004878	Intercostal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0007715	Weak extraocular muscles
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009023	Abdominal wall muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009063	Progressive distal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009073	Progressive proximal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0033235	Difficulty descending stairs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003722	Neck flexor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003484	Upper limb muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003323	Progressive muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002172	Postural instability
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002317	Unsteady gait
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000597	Ophthalmoparesis
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002141	Gait imbalance
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003392	First dorsal interossei muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003427	Thenar muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003547	Shoulder girdle muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003731	Quadriceps muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0003749	Pelvic girdle muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0007340	Lower limb muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0008959	Distal upper limb muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0008963	Tibialis muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0008997	Proximal muscle weakness in upper limbs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0008994	Proximal muscle weakness in lower limbs
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009005	Weakness of the intrinsic hand muscles
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009027	Foot dorsiflexor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009053	Distal lower limb muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0009077	Weakness of long finger extensor muscles
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0011727	Peroneal muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0012515	Hip flexor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0030237	Hand muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0031108	Triceps weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0031177	Finger flexor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0031374	Ankle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0033416	Hip adductor weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000183	Tongue muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000544	External ophthalmoplegia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0000651	Diplopia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002094	Dyspnea
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002098	Respiratory distress
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0033667	Diminished mental health
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:6001011	Wet voice
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002747	Respiratory insufficiency due to muscle weakness
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002093	Respiratory insufficiency
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0001609	Hoarse voice
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0004347	Weakness of muscles of respiration
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0032341	Reduced forced vital capacity
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0002068	Neuromuscular dysphagia
ORDO:270	Oculopharyngeal muscular dystrophy	RO:0004029	disease has feature	some	HP:0200136	Oral-pharyngeal dysphagia
