Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:1328675264	Eating	PROMOT:2000006	is measured by	some	SNOMED:840297006	Assessment of patient reported outcome measures
ICF:1328675264	Drinking	PROMOT:2000006	is measured by	some	SNOMED:840297006	Assessment of patient reported outcome measures
ICF:1462755743	Standing	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:1474003417	Maintaining head position	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:150502901	Changing basic body position	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:151046878	Speaking	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:1550548595	Walking on different surfaces	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:1550548595	Walking	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:1851215071	Rolling over	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:1896301954	Listening	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:1993770860	Going up and down stairs	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:2048203604	Mobility	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:409094401	Walking around obstacles	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:412494151	Running 	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:485719194	Maintaining a standing position	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:555410497	Walking short distances	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:623565657	Maintaining a sitting position	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:855039967	Sitting	PROMOT:2000006	is measured by	some	SNOMED:12894003	Functional assessment
ICF:919003335	Crawling	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
ICF:1034220517	Alternative vocalization functions	PROMOT:2000006	is measured by	some	SNOMED:84100007	History taking
