Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
HP:0000183	Tongue muscle weakness	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0000183	Tongue muscle weakness	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0000183	Tongue muscle weakness	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0000467	Neck muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0001260	Dysarthria	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:855039967	Sitting
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:1462755743	Standing
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:1851215071	Rolling over
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:623565657	Maintaining a sitting position
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:485719194	Maintaining a standing position
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:1474003417	Maintaining head position
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0001270	Motor delay	PROMOT:2000001	affects	some	ICF:919003335	Crawling
HP:0001288	Gait disturbance	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0001609	Hoarse voice	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0001611	Hypernasal speech	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0001618	Dysphonia	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0001761	Pes cavus	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0002015	Dysphagia	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0002015	Dysphagia	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0002033	Poor suck	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0002033	Poor suck	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0002068	Neuromuscular dysphagia	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0002068	Neuromuscular dysphagia	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0002141	Gait imbalance	PROMOT:2000001	affects	some	ICF:1550548595	Walking on different surfaces
HP:0002141	Gait imbalance	PROMOT:2000001	affects	some	ICF:409094401	Walking around obstacles
HP:0002172	Postural instability	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0002317	Unsteady gait	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0002359	Frequent falls	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0002460	Distal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0002483	Bulbar signs	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0002483	Bulbar signs	PROMOT:2000001	affects	some	ICF:1328675264	Drinking
HP:0002483	Bulbar signs	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0002505	Loss of ambulation	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0002515	Waddling gait	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0002540	Inability to walk	PROMOT:2000001	affects	some	ICF:1550548595	Walking
HP:0003202	Skeletal muscle atrophy	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003325	Limb-girdle muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003327	Axial muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003392	First dorsal interossei muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003427	Thenar muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003484	Upper limb muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003547	Shoulder girdle muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003551	Difficulty climbing stairs	PROMOT:2000001	affects	some	ICF:1993770860	Going up and down stairs
HP:0003690	Limb muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003691	Scapular winging	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003694	Late-onset proximal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003701	Proximal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003722	Neck flexor weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003731	Quadriceps muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003749	Pelvic girdle muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0003810	Late-onset distal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0004878	Intercostal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0005216	Impaired mastication	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0007340	Lower limb muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0008872	Feeding difficulties in infancy	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0008872	Feeding difficulties in infancy	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0008959	Distal upper limb muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0008963	Tibialis muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0008988	Pelvic girdle muscle atrophy	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0008994	Proximal muscle weakness in lower limbs	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0008997	Proximal muscle weakness in upper limbs	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009005	Weakness of the intrinsic hand muscles	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009023	Abdominal wall muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009027	Foot dorsiflexor weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009028	Generalized weakness of limb muscles	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009046	Difficulty running	PROMOT:2000001	affects	some	ICF:412494151	Running 
HP:0009053	Distal lower limb muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009063	Progressive distal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009073	Progressive proximal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0009077	Weakness of long finger extensor muscles	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0011470	Nasogastric tube feeding in infancy	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0011470	Nasogastric tube feeding in infancy	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0011471	Gastrostomy tube feeding in infancy	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0011471	Gastrostomy tube feeding in infancy	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0011727	Peroneal muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0011968	Feeding difficulties	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0011968	Feeding difficulties	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0012473	Tongue atrophy	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0012473	Tongue atrophy	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0012473	Tongue atrophy	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0012515	Hip flexor weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0025156	Dependency on intravenous nutrition	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0025156	Dependency on intravenous nutrition	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0030192	Fatigable weakness of bulbar muscles 	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030192	Fatigable weakness of bulbar muscles 	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0030192	Fatigable weakness of bulbar muscles 	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0030193	Fatigable weakness of chewing muscles	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030194	Fatigable weakness of speech muscles 	PROMOT:2000001	affects	some	ICF:151046878	Speaking
HP:0030195	Fatigable weakness of swallowing muscles 	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030195	Fatigable weakness of swallowing muscles 	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0030197	Fatigable weakness of skeletal muscles	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0030198	Fatigable weakness of distal limb muscles	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0030199	Fatigable weakness of neck muscles 	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0030200	Fatiguable weakness of proximal limb muscles 	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0030237	Hand muscle weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0030319	Weakness of facial musculature	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030842	Choking episodes	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030884	Gastrojejunal tube feeding in infancy	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0030884	Gastrojejunal tube feeding in infancy	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0031063	Impaired feeding ability	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0031063	Impaired feeding ability	PROMOT:2000001	affects	some	ICF:553784299	Drinking
HP:0031108	Triceps weakness	PROMOT:2000001	affects	some	ICF:2048203604	Mobility
HP:0031146	Impaired oral bolus formation	PROMOT:2000001	affects	some	ICF:1328675264	Eating
HP:0031146	Impaired oral bolus formation	PROMOT:2000001	affects	some	ICF:553784299	Drinking
