Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
HP:0000028	Cryptorchidism	PROMOT:2000005	affects	some	ICF:859818654	Penis, testes and scrotum development
HP:0000183	Tongue muscle weakness	PROMOT:2000005	affects	some	PROMOT:0032050	Power of tongue muscle
HP:0000467	Neck muscle weakness	PROMOT:2000005	affects	some	PROMOT:0032024	Power of neck muscle
HP:0000486	Strabismus	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000496	Abnormality of eye movement	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000496	Abnormality of eye movement	PROMOT:2000005	affects	some	ICF:1090716697	Functions of external muscles of the eye
HP:0000508	Ptosis	PROMOT:2000005	affects	some	ICF:2021370201	Functions of the eyelid
HP:0000508	Ptosis	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000544	External ophthalmoplegia	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000544	External ophthalmoplegia	PROMOT:2000005	affects	some	ICF:1090716697	Functions of external muscles of the eye
HP:0000597	Ophthalmoparesis	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000597	Ophthalmoparesis	PROMOT:2000005	affects	some	ICF:1090716697	Functions of external muscles of the eye
HP:0000602	Ophthalmoplegia	PROMOT:2000005	affects	some	PROMOT:0032026	Power of extra-ocular muscle
HP:0000602	Ophthalmoplegia	PROMOT:2000005	affects	some	ICF:1090716697	Functions of external muscles of the eye
HP:0000651	Diplopia	PROMOT:2000005	affects	some	ICF:2022689055	Visual acuity functions
HP:0001249	Intellectual disability	PROMOT:2000005	affects	some	ICF:1525383756	Intellectual functions
HP:0001249	Intellectual disability	PROMOT:2000005	affects	some	ICF:1363559646	Mental functions
HP:0001252	Hypotonia	PROMOT:2000005	affects	some	ICF:260756767	Tone of all muscles of the body
HP:0001260	Dysarthria	PROMOT:2000005	affects	some	ICF:1919311435	Articulation functions
HP:0001265	Hyporeflexia	PROMOT:2000005	affects	some	ICF:1434015402	Stretch motor reflex
