Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
HP:0009023	Abdominal wall muscle weakness	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0001713	Abnormal cardiac ventricle morphology	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0030872	Abnormal cardiac ventricular function	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0040081	Abnormal circulating creatine kinase concentration	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0001627	Abnormal heart morphology	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0007695	Abnormal pupillary light reflex	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0031826	Abnormal reflex	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0001547	Abnormal rib cage morphology 	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0000496	Abnormality of eye movement	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
PROMOT:0032004	Anhedonia while eating	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0031374	Ankle weakness	PROMOT:2000005	is assessed by	some	SNOMED:12894003	Functional assessment
HP:0002104	Apnea	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0005949	Apneic episodes in infancy	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0001284	Areflexia	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0002522	Areflexia of lower limbs 	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0002804	Arthrogryposis multiplex congenita	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0003327	Axial muscle weakness	PROMOT:2000005	is assessed by	some	(SNOMED:12894003 OR SNOMED:84100007)	Functional assessment OR History taking
HP:0002483	Bulbar signs	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0001638	Cardiomyopathy  	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
HP:0030842	Choking episodes	PROMOT:2000005	is assessed by	some	SNOMED:84100007	History taking
PROMOT:0032006	Choking on foods	PROMOT:2000005	is assessed by	some	SNOMED:840297006	Assessment of patient reported outcome measures
