Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
FMA:13295	Diaphragm 	PROMOT:2000010	located in	some	ICF:495844982	Muscles of respiration
FMA:13354	Intercostal Muscle	PROMOT:2000010	located in	some	ICF:1571232890	Intercostal muscles
FMA:13379	Rhomboid major	PROMOT:2000010	located in	some	ICF:278512890	s7202 Muscles of shoulder region 
FMA:13380	Rhomboid minor	PROMOT:2000010	located in	some	ICF:278512890	s7202 Muscles of shoulder region 
FMA:13397	Serratus anterior	PROMOT:2000010	located in	some	ICF:278512890	s7202 Muscles of shoulder region 
FMA:22428	Quatriceps femoris 	PROMOT:2000010	located in	some	ICF:521411479	Muscles of thigh
FMA:22470	Muscle of thigh	PROMOT:2000010	located in	some	ICF:521411479	Muscles of thigh
FMA:22471	Muscle of leg	PROMOT:2000010	located in	some	ICF:338611549	Muscles of lower leg
FMA:22471	Muscle of leg	PROMOT:2000010	located in	some	ICF:1278239861	Muscles of ankle and foot
FMA:22532	Tibialis anterior	PROMOT:2000010	located in	some	ICF:338611549	Muscles of lower leg
FMA:323229	Pterygoid muscle	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:33531	Muscle of shoulder	PROMOT:2000010	located in	some	ICF:278512890	Muscles of shoulder region
FMA:33531	Muscle of shoulder	PROMOT:2000010	located in	some	ICF:278512890	s7202 Muscles of shoulder region 
FMA:35178	Hip joint	PROMOT:2000010	located in	some	ICF:1401748164	Hip joint
FMA:37367	Muscle of pelvic gridle	PROMOT:2000010	located in	some	ICF:793188683	Muscles of pelvic region
FMA:37367	Muscle of pelvic girdle	PROMOT:2000010	located in	some	ICF:793188683	Muscles of pelvic region
FMA:37369	Muscle of foot	PROMOT:2000010	located in	some	ICF:1278239861	Muscles of ankle and foot
FMA:37370	Muscle of arm	PROMOT:2000010	located in	some	ICF:1867012554	Muscles of upper arm
FMA:37371	Muscle of forearm	PROMOT:2000010	located in	some	ICF:294830867	Muscles of forearm
FMA:37372	Muscle of hand	PROMOT:2000010	located in	some	ICF:1233939003	Muscles of hand
FMA:37424	First dorsal interosseous of hand	PROMOT:2000010	located in	some	ICF:1233939003	Muscles of hand
FMA:37688	Triceps brachii	PROMOT:2000010	located in	some	ICF:1867012554	Muscles of upper arm
FMA:38500	Extensor digitorum	PROMOT:2000010	located in	some	ICF:1233939003	Muscles of hand
FMA:42380	Intrinsic muscle of hand	PROMOT:2000010	located in	some	ICF:1233939003	Muscles of hand
FMA:46619	Muscle of pharynx 	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:46689	Muscle of tongue	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:46751	Muscle of face	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:46834	Buccinator	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:48996	Masseter	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:49006	Temporalis	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:49033	Extra ocular muscle	PROMOT:2000010	located in	some	ICF:405925948	External ocular muscles
FMA:49033	Extra-ocular muscle	PROMOT:2000010	located in	some	ICF:405925948	External ocular muscles
FMA:49033	Extra ocular muscle	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:51099	Tibialis posterior	PROMOT:2000010	located in	some	ICF:338611549	Muscles of lower leg
FMA:58274	Muscle of trunk	PROMOT:2000010	located in	some	ICF:58064740	Muscles of trunk
FMA:64916	Thenar muscle	PROMOT:2000010	located in	some	ICF:1233939003	Muscles of hand
FMA:67169	Set of pharyngeal muscles	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:7088	Heart	PROMOT:2000010	located in	some	ICF:834607195	Heart 
FMA:74060	Masticatory muscle 	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:74081	Set of intercostal muscles	PROMOT:2000010	located in	some	ICF:495844982	Muscles of respiration
FMA:7490	Joint	PROMOT:2000010	located in	some	ICF:462923277	Joints
FMA:9617	Muscle of neck	PROMOT:2000010	located in	some	ICF:1874889854	Muscles of head and neck region
FMA:9620	Muscle of abdomen	PROMOT:2000010	located in	some	ICF:58064740	Muscles of trunk
FMA:9626	Trapezius 	PROMOT:2000010	located in	some	ICF:278512890	s7202 Muscles of shoulder region 
