Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
FMA:46689	Muscle of tongue	PROMOT:2000008	has disposition	some	HP:0000183	Tongue muscle weakness
FMA:9617	Muscle of neck	PROMOT:2000008	has disposition	some	HP:0000467	Neck muscle weakness
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000486	Strabismus
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000496	Abnormality of eye movement
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000508	Ptosis
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000544	External ophthalmoplegia
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000597	Ophthalmoparesis
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0000602	Ophthalmoplegia
FMA:49033	Extra-ocular muscle	PROMOT:2000008	has disposition	some	HP:0000651	Diplopia
FMA:35178	Hip joint	PROMOT:2000008	has disposition	some	HP:0001374	Congenital hip dislocation
FMA:7490	Joint	PROMOT:2000008	has disposition	some	HP:0001387	Joint stiffness
FMA:7088	Heart	PROMOT:2000008	has disposition	some	HP:0001627	Abnormal heart morphology
FMA:7088	Heart	PROMOT:2000008	has disposition	some	HP:0001638	Cardiomyopathy  
FMA:7088	Heart	PROMOT:2000008	has disposition	some	HP:0001713	Abnormal cardiac ventricle morphology
FMA:67169	Set of pharyngeal muscles	PROMOT:2000008	has disposition	some	HP:0002483	Bulbar signs
FMA:46619	Muscle of pharynx 	PROMOT:2000008	has disposition	some	HP:0002483	Bulbar signs
FMA:7490	Joint	PROMOT:2000008	has disposition	some	HP:0002804	Arthrogryposis multiplex congenita
FMA:7490	Joint	PROMOT:2000008	has disposition	some	HP:0002828	Multiple joint contractures
FMA:33531	Muscle of shoulder	PROMOT:2000008	has disposition	some	HP:0003325	Limb-girdle muscle weakness
FMA:37367	Muscle of pelvic girdle	PROMOT:2000008	has disposition	some	HP:0003325	Limb-girdle muscle weakness
FMA:37424	First dorsal interosseous of hand	PROMOT:2000008	has disposition	some	HP:0003392	First dorsal interossei muscle weakness
FMA:64916	Thenar muscle	PROMOT:2000008	has disposition	some	HP:0003427	Thenar muscle weakness
FMA:33531	Muscle of shoulder	PROMOT:2000008	has disposition	some	HP:0003547	Shoulder girdle muscle weakness
FMA:9626	Trapezius 	PROMOT:2000008	has disposition	some	HP:0003691	Scapular winging
FMA:13397	Serratus anterior	PROMOT:2000008	has disposition	some	HP:0003691	Scapular winging
FMA:13379	Rhomboid major	PROMOT:2000008	has disposition	some	HP:0003691	Scapular winging
FMA:13380	Rhomboid minor	PROMOT:2000008	has disposition	some	HP:0003691	Scapular winging
FMA:33531	Muscle of shoulder	PROMOT:2000008	has disposition	some	HP:0003691	Scapular winging
FMA:9617	Muscle of neck	PROMOT:2000008	has disposition	some	HP:0003722	Neck flexor weakness
FMA:22428	Quatriceps femoris 	PROMOT:2000008	has disposition	some	HP:0003731	Quadriceps muscle weakness
FMA:37367	Muscle of pelvic gridle	PROMOT:2000008	has disposition	some	HP:0003749	Pelvic girdle muscle weakness
FMA:13354	Intercostal Muscle	PROMOT:2000008	has disposition	some	HP:0004878	Intercostal muscle weakness
FMA:48996	Masseter	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:46834	Buccinator	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:46689	Muscle of tongue	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:49006	Temporalis	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:323229	Pterygoid muscle	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:74060	Masticatory muscle 	PROMOT:2000008	has disposition	some	HP:0005216	Impaired mastication
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0007715	Weak extraocular muscles
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0007838	Progressive ptosis
FMA:49033	Extra ocular muscle	PROMOT:2000008	has disposition	some	HP:0007941	Limited extraocular movements
FMA:37371	Muscle of forearm	PROMOT:2000008	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:37372	Muscle of hand	PROMOT:2000008	has disposition	some	HP:0008959	Distal upper limb muscle weakness
FMA:22532	Tibialis anterior	PROMOT:2000008	has disposition	some	HP:0008963	Tibialis muscle weakness
FMA:51099	Tibialis posterior	PROMOT:2000008	has disposition	some	HP:0008963	Tibialis muscle weakness
FMA:37367	Muscle of pelvic gridle	PROMOT:2000008	has disposition	some	HP:0008988	Pelvic girdle muscle atrophy
FMA:37367	Muscle of pelvic gridle	PROMOT:2000008	has disposition	some	HP:0008994	Proximal muscle weakness in lower limbs
FMA:22470	Muscle of thigh	PROMOT:2000008	has disposition	some	HP:0008994	Proximal muscle weakness in lower limbs
