Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:1233939003	Muscles of hand	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:1233939003	Muscles of hand	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:1278239861	Muscles of ankle and foot	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:1278239861	Muscles of ankle and foot	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:1401748164	Hip joint (Body structure)	RO:0002328	fonctionally related to	some	ICF:1748092144	Stability of a single joint
ICF:1571232890	Intercostal muscles	RO:0002328	fonctionally related to	some	ICF:556694745	Power of muscles of the trunk
ICF:1650503157	Bones of ankle and foot	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:169456190	Joints of head and neck region	RO:0002328	fonctionally related to	some	ICF:248265067	Mobility of joint functions
ICF:1867012554	Muscles of upper arm	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:1867012554	Muscles of upper arm	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1580195090	Fonctions digestives
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1389818830	Chewing
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1174312718	Manipulation of food in the mouth
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1041382491	Oral swallowing
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:691689627	Pharyngeal swallowing
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:923782542	Swallowing
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:712570723	Voice functions
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:2089171534	Sucking
ICF:1874889854	Muscles of head and neck region	RO:0002328	fonctionally related to	some	ICF:841397411	Sensation of muscle stiffness
ICF:2067741200	Testes and scrotum	RO:0002328	fonctionally related to	some	ICF:859818654	Penis, testes and scrotum development
ICF:278512890	Muscles of shoulder region	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:278512890	Muscles of shoulder region	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:278512890	Muscles of shoulder region 	RO:0002328	fonctionally related to	some	ICF:1521707777	Endurance of muscle groups 
ICF:278512890	Muscles of shoulder region 	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
ICF:294830867	Muscles of forearm	RO:0002328	fonctionally related to	some	ICF:1789365017	Power of isolated muscles and muscle groups
