Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Data_type
SNOMED:298059007	Date of onset	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:399753006	Date of death	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:399423000	Date of admission	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:432213005	Date of diagnosis	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:406543005	Date of visit	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:439272007	Date of procedure	PROMOT:3000002	has date for value	some	xsd:date
SNOMED:184099003	Date of Birth	PROMOT:3000002	has date for value	some	xsd:date
PROMOT:0010001	age content entity	PROMOT:3000001	has age for value	some	xsd:int
PROMOT:0010001	age content entity	PROMOT:3000005	has int for value	some	xsd:int
PROMOT:0010003	decimal content entity	PROMOT:3000003	has decimal for value	some	xsd:decimal
PROMOT:0010004	duration content entity	PROMOT:3000004	has duration for value	some	xsd:duration
PROMOT:0010005	int content entity	PROMOT:3000005	has int for value	some	xsd:int
PROMOT:0010006	token content entity	PROMOT:3000006	has token for value	some	xsd:token
PROMOT:0010007	year content entity	PROMOT:3000007	has year for value	some	xsd:gYear
NCIT:C93511	Assessment date	PROMOT:3000002	has date for value	some	xsd:date
NCIT:C178992	Date of resolution	PROMOT:3000002	has date for value	some	xsd:date
NCIT:C93579	Date of consent	PROMOT:3000002	has date for value	some	xsd:date
PROMOT:0010052	Risk of fall assessed	PROMOT:3000008	has boolean for value	some	xsd:boolean
