Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:0000183	Tongue muscle weakness
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:6001011	Wet voice
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:0012473	Tongue atrophy
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:0001611	Hypernasal speech
ICF:151046878	Speaking	PROMOT:2000006	is affected by	some	HP:0001260	Dysarthria
ICF:855039967	Sitting	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:1462755743	Standing	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:1851215071	Rolling over	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:623565657	Maintaining a sitting position	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:485719194	Maintaining a standing position	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:1474003417	Maintaining head position	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0031936	Delayed ability to walk 
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0002515	Waddling gait
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0002359	Frequent falls
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0002540	Inability to walk
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0002505	Loss of ambulation
ICF:1550548595	Walking	PROMOT:2000006	is affected by	some	HP:0001288	Gait disturbance
ICF:1550548595	Walking on different surfaces	PROMOT:2000006	is affected by	some	HP:0002141	Gait imbalance
ICF:409094401	Walking around obstacles	PROMOT:2000006	is affected by	some	HP:0002141	Gait imbalance
ICF:1993770860	Going up and down stairs	PROMOT:2000006	is affected by	some	HP:0003551	Difficulty climbing stairs
ICF:1993770860	Going up and down stairs	PROMOT:2000006	is affected by	some	HP:0033235	Difficulty descending stairs
ICF:919003335	Crawling	PROMOT:2000006	is affected by	some	HP:0001270	Motor delay
ICF:412494151	Running 	PROMOT:2000006	is affected by	some	HP:0009046	Difficulty running
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0030319	Weakness of facial musculature
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0005216	Impaired mastication
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0030842	Choking episodes
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0031146	Impaired oral bolus formation
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0031162	Impaired oropharyngeal swallow response
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0032043	Odynophagia
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0002015	Dysphagia
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0002068	Neuromuscular dysphagia
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0200136	Oral-pharyngeal dysphagia
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0000183	Tongue muscle weakness
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0012473	Tongue atrophy
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0030193	Fatigable weakness of chewing muscles
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0011968	Feeding difficulties
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0008872	Feeding difficulties in infancy
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0002033	Poor suck
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0025156	Dependency on intravenous nutrition
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0033994	Dependency on parenteral nutrition
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0030884	Gastrojejunal tube feeding in infancy
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0040288	Nasogastric tube feeding
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0031063	Impaired feeding ability
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0033454	Tube feeding
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0011471	Gastrostomy tube feeding in infancy
ICF:1328675264	Eating	PROMOT:2000006	is affected by	some	HP:0011470	Nasogastric tube feeding in infancy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0000183	Tongue muscle weakness
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0012473	Tongue atrophy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0011968	Feeding difficulties
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0008872	Feeding difficulties in infancy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0002033	Poor suck
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0025156	Dependency on intravenous nutrition
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0033994	Dependency on parenteral nutrition
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0030884	Gastrojejunal tube feeding in infancy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0040288	Nasogastric tube feeding
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0031063	Impaired feeding ability
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0033454	Tube feeding
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0011471	Gastrostomy tube feeding in infancy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0011470	Nasogastric tube feeding in infancy
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0031146	Impaired oral bolus formation
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0031162	Impaired oropharyngeal swallow response
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0032043	Odynophagia
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0002015	Dysphagia
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0002068	Neuromuscular dysphagia
ICF:553784299	Drinking	PROMOT:2000006	is affected by	some	HP:0200136	Oral-pharyngeal dysphagia
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0000467	Neck muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0003327	Axial muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0002172	Postural instability
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0002317	Unsteady gait
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0008994	Proximal muscle weakness in lower limbs
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0003749	Pelvic girdle muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0003731	Quadriceps muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0033416	Hip adductor weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0012515	Hip flexor weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0009027	Foot dorsiflexor weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0011727	Peroneal muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0008963	Tibialis muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0031374	Ankle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0007340	Lower limb muscle weakness
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0008988	Pelvic girdle muscle atrophy
ICF:2048203604	Mobility	PROMOT:2000006	is affected by	some	HP:0001761	Pes cavus
