Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:1525383756	Intellectual functions	PROMOT:2000006	is affected by	some	HP:0001249	Intellectual disability
ICF:1864074583	Energy level	PROMOT:2000006	is affected by	some	HP:0012378	Fatigue
ICF:2022689055	Visual acuity functions	PROMOT:2000006	is affected by	some	HP:0000651	Diplopia
ICF:2021370201	Functions of the eyelid	PROMOT:2000006	is affected by	some	HP:0000508	Ptosis
ICF:2021370201	Functions of the eyelid	PROMOT:2000006	is affected by	some	HP:0007838	Progressive ptosis
ICF:1090716697	Functions of external muscles of the eye	PROMOT:2000006	is affected by	some	HP:0000597	Ophthalmoparesis
ICF:1090716697	Functions of external muscles of the eye	PROMOT:2000006	is affected by	some	HP:0000602	Ophthalmoplegia
ICF:1090716697	Functions of external muscles of the eye	PROMOT:2000006	is affected by	some	HP:0000544	External ophthalmoplegia
ICF:1090716697	Functions of external muscles of the eye	PROMOT:2000006	is affected by	some	HP:0007941	Limited extraocular movements
ICF:1831985718	Vestibular function of balance	PROMOT:2000006	is affected by	some	HP:0002141	Gait imbalance
ICF:893697482	Generalized pain	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:893697482	Generalized pain	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:299098423	Pain in head and neck	PROMOT:2000006	is affected by	some	HP:0032043	Odynophagia
ICF:299098423	Pain in head and neck	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:299098423	Pain in head and neck	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:117147127	Pain in chest	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:117147127	Pain in chest	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:1065560247	Pain in stomach or abdomen	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:1065560247	Pain in stomach or abdomen	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:682314871	Pain in back	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:682314871	Pain in back	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:1299345975	Pain in upper limb	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:1299345975	Pain in upper limb	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:1515853559	Pain in lower limb	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:1515853559	Pain in lower limb	PROMOT:2000006	is affected by	some	HP:0003326	Myalgia
ICF:454325322	Pain in multiple body parts	PROMOT:2000006	is affected by	some	HP:0012531	Pain
ICF:712570723	Voice functions	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:712570723	Voice functions	PROMOT:2000006	is affected by	some	HP:0001609	Hoarse voice
ICF:1846694084	Quality of voice	PROMOT:2000006	is affected by	some	HP:6001011	Wet voice
ICF:1846694084	Quality of voice	PROMOT:2000006	is affected by	some	HP:0001611	Hypernasal speech
ICF:1919311435	Articulation functions	PROMOT:2000006	is affected by	some	HP:0001260	Dysarthria
ICF:2069371821	Rhythm of speech	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:1109440237	Speed of speech	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:1426641453	Melody of speech	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:1034220517	Alternative vocalization functions	PROMOT:2000006	is affected by	some	HP:0001618	Dysphonia
ICF:1034220517	Alternative vocalization functions	PROMOT:2000006	is affected by	some	HP:0001612	Weak cry
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0002098	Respiratory distress
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0002094	Dyspnea
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0002747	Respiratory insufficiency due to muscle weakness
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0002093	Respiratory insufficiency
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0004347	Weakness of muscles of respiration
ICF:446199613	Respiration functions	PROMOT:2000006	is affected by	some	HP:0032341	Reduced forced vital capacity
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0002098	Respiratory distress
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0002094	Dyspnea
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0002747	Respiratory insufficiency due to muscle weakness
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0002093	Respiratory insufficiency
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0004347	Weakness of muscles of respiration
ICF:1360101629	Respiratory muscle functions	PROMOT:2000006	is affected by	some	HP:0032341	Reduced forced vital capacity
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0002104	Apnea
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0002878	Respiratory failure
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0004887	Respiratory failure requiring assisted ventilation
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0002643	Neonatal respiratory distress
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0005949	Apneic episodes in infancy
ICF:1470583183	Functions of breathing through the mouth	PROMOT:2000006	is affected by	some	HP:0004889	Intermittent episodes of respiratory insufficiency due to muscle weakness
