Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0009023	Abdominal wall muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001713	Abnormal cardiac ventricle morphology
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030872	Abnormal cardiac ventricular function
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0040081	Abnormal circulating creatine kinase concentration
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001627	Abnormal heart morphology
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0007695	Abnormal pupillary light reflex
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0031826	Abnormal reflex
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001547	Abnormal rib cage morphology 
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000496	Abnormality of eye movement
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0031374	Ankle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002104	Apnea
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0005949	Apneic episodes in infancy
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001284	Areflexia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002522	Areflexia of lower limbs
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002804	Arthrogryposis multiplex congenita
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003327	Axial muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002483	Bulbar signs
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030842	Choking episodes
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001374	Congenital hip dislocation
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000028	Cryptorchidism
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001558	Decreased fetal movement
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000886	Deformed rib cage 
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0025156	Dependency on intravenous nutrition
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0033994	Dependency on parenteral nutrition
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0009046	Difficulty running
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000651	Diplopia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0009053	Distal lower limb muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002460	Distal muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0008959	Distal upper limb muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	PROMOT:0032005	Double compound motor action potential abnormality
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001260	Dysarthria
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001618	Dysphonia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002094	Dyspnea
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003236	Elevated circulating creatine kinase concentration
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030000	EMG : repetitive nerve stimulation abnormality
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003457	EMG abnormality
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003403	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003458	EMG: myopathic abnormalities
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003445	EMG: neuropathic changes
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0004885	Episodic respiratory distress
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000544	External ophthalmoplegia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001508	Failure to thrive
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001531	Failure to thrive in infancy
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030192	Fatigable weakness of bulbar muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030193	Fatigable weakness of chewing muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030198	Fatigable weakness of distal limb muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030199	Fatigable weakness of neck muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030196	Fatigable weakness of respiratory muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030197	Fatigable weakness of skeletal muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030194	Fatigable weakness of speech muscles 
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030195	Fatigable weakness of swallowing muscles 
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030200	Fatiguable weakness of proximal limb muscles 
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030202	Favorable response of weakness to acetylcholine esterase inhibitors
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0011968	Feeding difficulties
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0008872	Feeding difficulties in infancy
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001989	Fetal akinesia sequence
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0031177	Finger flexor weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003392	First dorsal interossei muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0009027	Foot dorsiflexor weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002359	Frequent falls
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001288	Gait disturbance
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030884	Gastrojejunal tube feeding in infancy
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0011471	Gastrostomy tube feeding in infancy
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0009028	Generalized weakness of limb muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003391	Gowers sign
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0030237	Hand muscle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0000218	High palate
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002705	High, narrow palate
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0033416	Hip adductor weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0012515	Hip flexor weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003749	Hip girdle weakness
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001609	Hoarse voice
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0003307	Hyperlordosis
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001611	Hypernasal speech
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001265	Hyporeflexia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0002600	Hyporeflexia of lower limbs
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0001252	Hypotonia
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0031063	Impaired feeding ability
SNOMED:84100007	History taking (procedure)	PROMOT:2000002	assesses	some	HP:0005216	Impaired mastication
