DISEASE GROUP	DISEASE NAME	ORPHA CODE	OMIM CODE
CMYO	Congenital myopathy	ORPHA:97245	
CMYO	Congenital fiber-type disproportion myopathy	ORPHA:2020	OMIM:255310
CMYO	Centronuclear myopathy	ORPHA:595	
CMYO	X-linked centronuclear myopathy	ORPHA:596	
CMYO	X-linked myotubular myopathy-abnormal genitalia syndrome	ORPHA:456328	OMIM:300219
CMYO	Symptomatic form of X-linked centronuclear myopathy in female carriers	ORPHA:604680	
CMYO	Zebra body myopathy	ORPHA:97240	
CMYO	Congenital myopathy with excess of thin filaments	ORPHA:98904	
CMYO	King-Denborough syndrome	ORPHA:99741	
CMYO	Congenital myopathy with cores	ORPHA:172976	
CMYO	Central core disease	ORPHA:597	OMIM:117000
CMYO	Multiminicore myopathy	ORPHA:598	
CMYO	Congenital multicore myopathy with external ophthalmoplegia	ORPHA:98905	
CMYO	Moderate multiminicore disease with hand involvement	ORPHA:178145	
CMYO	Classic multiminicore myopathy	ORPHA:324604	
CMYO	Congenital myopathy with myasthenic-like onset	ORPHA:424107	
CMYO	Congenital nemaline myopathy	ORPHA:457074	
CMYO	Severe congenital nemaline myopathy	ORPHA:171430	
CMYO	Intermediate nemaline myopathy	ORPHA:171433	
CMYO	Typical nemaline myopathy	ORPHA:171436	
CMYO	Congenital Myopathy 2B, severe infantile, autosomal recessive ; CMYO2B 		OMIM:620265
CMYO	Congenital Myopathy 2C, severe infantile, autosomal dominant ; CMYO2C		OMIM:620278
CMYO	Congenital Myopathy 5 with cardiomyopathy ; CMYO5 	ORPHA:289377	OMIM:611705
CMYO	Minicore myopathy with external ophthalmoplegia		OMIM:255320
CMYO	Arthrogryposis multiplex congenita 6		OMIM:619334
CMYO	Childhood-onset nemaline myopathy	ORPHA:171439	
CMYO	Distal nebulin myopathy	ORPHA:399103	
CMYO	Nemaline myopathy 2, autosomal recessive		OMIM:256030
CMYO	Myopathy, centronuclear, X-linked		OMIM:310400
CMYO	Myopathy, scapulohumeroperoneal	ORPHA:447977	OMIM:616852
CMYO	Nemaline myopathy 3		OMIM:161800
CMYO	Rigid spine syndrome	ORPHA:97244	
CMYO	Rigid spine muscular dystrophy 1		OMIM:602771
OPMD	Oculopharyngeal Muscular Dystrophy	ORPHA:270	OMIM:164300
CMS	Congenital myasthenic syndrome	ORPHA:590	
CMS	Postsynaptic congenital myasthenic syndromes	ORPHA:98913	
CMS	Synaptic congenital myasthenic syndromes	ORPHA:98915	
CMS	Congenital myasthenic syndromes with glycosylation defect	ORPHA:353327	
CMS	Myasthenic syndrome, congenital, 4A, slow-channel		OMIM:605809
CMS	Myasthenic syndrome, congenital, 4B, fast-channel		OMIM:616324
CMS	Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency		OMIM:608931
CMS	Fetal akinesia deformation sequence 3		OMIM:618389
CMS	Myasthenia, limb-girdle, familial		OMIM:254300
CMS	Myasthenic syndrome, congenital, 5		OMIM:603034
CMS	Fetal akinesia deformation sequence 2		OMIM:618388
CMS	Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency		OMIM:616326
CMS	Myasthenic syndrome, congenital, with tubular aggregates 1		OMIM:610542
CMS	GMPPB-related limb-girdle muscular dystrophy R19	ORPHA:363623	
CMS	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14		OMIM:615350
CMS	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 14		OMIM:615351
CMS	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14		OMIM:615352
