# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   PROMOT: http://purl.obolibrary.org/obo/PROMOT_
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: http://purl.obolibrary.org/obo/promot/mappings/promot-mappings.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	confidence
PROMOT:2000001	affects	skos:exactMatch	BIOLINK:affects	affects	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	0.9
PROMOT:2000001	affects	skos:exactMatch	SIO:001158	affects	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	0.9
PROMOT:2000003	has genetic mutation	skos:exactMatch	VO:0001039	has gene mutation	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	0.9
PROMOT:2000007	is related to	skos:exactMatch	SIO:000709	is related to	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	0.9
PROMOT:2000009	measures	skos:exactMatch	SCDO:1000194	measures	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	0.9
HP:0000118	Phenotypic abnormality	skos:broadMatch	http://snomed.info/id/8116006	Phenotypic Finding	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
HP:0032319	Health status	skos:relatedMatch 	LOINC:75315-2	Family Member Disease	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
HP:0025820	Offspring of consanguineous relationship 	skos:relatedMatch 	http://snomed.info/id/842009	Consanguinity	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
HP:0011420	Age of death	skos:narrowMatch	LOINC:92662-6	Family Member Deceased Age	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
IAO:0000027	data entity	skos:narrowMatch	NCIT:C25712	Value	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
IAO:0020000	identifier	skos:narrowMatch	http://snomed.info/id/422549004	Patient-related Identification code 	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
ICF:1626363729	Body structures	skos:exactMatch	http://snomed.info/id/123037004	Body structure	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
ORDO:377788	Disease	skos:exactMatch	http://snomed.info/id/64572001	Disease	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:399753006	Date of death	skos:closeMatch	http://snomed.info/id/398299004	Time of Death	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:184305005	Cause of death	skos:narrowMatch	LOINC:54112-8	Family Member Cause of Death	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:315354004	Country of Birth	skos:closeMatch	http://snomed.info/id/370159000	Country of Birth	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:439272007	Date of procedure	skos:narrowMatch	NCIT:C82577	Test Time	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:128927009	Procedure by method	skos:narrowMatch	NCIT:C60819	Assay	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:128927009	Procedure by method	skos:narrowMatch	http://snomed.info/id/122869004	Measurement procedure	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:125679009	Blood relative	skos:broadMatch	http://snomed.info/id/444018008	Person with characteristic related to subject of record 	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SNOMED:184099003	Date of Birth	skos:narrowMatch	LOINC:54124-3	Family Member Date of Birth	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SO:0001060	sequence_variant	skos:broadMatch	http://snomed.info/id/106221001	Genetic finding	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
SO:0001060	sequence_variant	skos:closeMatch	LOINC:48018-6	Gene	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
NCIT:C178992	Date of resolution	skos:relatedMatch 	HP:0034382	Disease remission	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
NCIT:C25150	Age	skos:narrowMatch	LOINC:54141-7	Family Member Age	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
NCIT:C20587	Age Related Group	skos:closeMatch	http://snomed.info/id/105727008	Age AND/OR growth period 	semapv:ManualMappingCuration	orcid:0009-0000-5160-7927	08-13-2026	
