http://purl.obolibrary.org/obo/HP_0000467 # Neck muscle weakness ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0030319 # Weakness of facial musculature ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0007715 # Weak extraocular muscles ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0000597 # Ophthalmoparesis ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0004878 # Intercostal muscle weakness ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0009023 # Abdominal wall muscle weakness ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0002141 # Gait imbalance ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0003551 # Difficulty climbing stairs ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0033235 # Difficulty descending stairs ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0008994 # Proximal muscle weakness in lower limbs ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0008987 # Proximal muscle weakness in upper limbs ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0009053 # Distal lower limb muscle weakness ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0008959 # Distal upper limb muscle weakness ; OPMD Scoping review
http://purl.obolibrary.org/obo/HP_0005216 # Impaired mastication ; OPMD Article
http://purl.obolibrary.org/obo/HP_0030842 # Choking episodes ; OPMD Article
http://purl.obolibrary.org/obo/HP_0031146 # Impaired oral bolus formation ; OPMD Article
http://purl.obolibrary.org/obo/HP_0031162 # Impaired oropharyngeal swallow response ; OPMD Article
http://purl.obolibrary.org/obo/HP_0032043 # Odynophagia ; OPMD Article
http://purl.obolibrary.org/obo/HP_0002015 # Dysphagia ; OPMD Article
http://purl.obolibrary.org/obo/HP_0002141 # Gait imbalance ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0002098 # Respiratory distress ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0002094 # Dyspnea ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0001288 # Gait disturbance ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0000651 # Diplopia ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0002015 # Dysphagia ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0001618 # Dysphonia ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0033695 # Occupational disability ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0030319 # Weakness of facial musculature ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0012378 # Fatigue ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0031058 # Impairment of activities of daily living ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0007340 # Lower limb muscle weakness ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0008994 # Proximal muscle weakness in lower limbs ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0009053 # Distal lower limb muscle weakness ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0000602 # Ophthalmoplegia ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0000544 # External ophthalmoplegia ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0012531 # Pain ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0033667 # Diminished mental health ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0000508 # Ptosis ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0000183 # Tongue muscle weakness ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0008959 # Distal upper limb muscle weakness ; OPMD Survey
http://purl.obolibrary.org/obo/HP_0008987 # Proximal muscle weakness in upper limbs ; OPMD Survey
http://purl.obolibrary.org/obo/HP_6001011 # Wet voice ; OPMD Survey
