http://id.who.int/icd/entity/1789365017	# Power of isolated muscles and muscle groups ; OPMD scoping review
http://id.who.int/icd/entity/161488596 # Neuromusculoskeletal and movement-related functions ; OPMD scoping review
http://id.who.int/icd/entity/1867763097	# Functions of internal muscles of the eye ; OPMD scoping review
http://id.who.int/icd/entity/1090716697	# Functions of external muscles of the eye ; OPMD scoping review
http://id.who.int/icd/entity/1789365017	# Power of isolated muscles and muscle groups ; OPMD scoping review
http://id.who.int/icd/entity/1486425186	# Functions of the thoracic respiratory muscles ; OPMD scoping review
http://id.who.int/icd/entity/1337026722	# Functions of the diaphragm ; OPMD scoping review
http://id.who.int/icd/entity/1992934882	# Functions of accessory respiratory muscles ; OPMD scoping review
http://id.who.int/icd/entity/556694745 # Power of muscles of the trunk ; OPMD scoping review
http://id.who.int/icd/entity/1831985718	# Vestibular function of balance ; OPMD scoping review
http://id.who.int/icd/entity/2106585049	# Power of muscles of one limb ; OPMD scoping review
http://id.who.int/icd/entity/1407133273	# Power of muscles in lower half of the body ; OPMD scoping review
http://id.who.int/icd/entity/906369049 # Power of muscles of all limbs ; OPMD scoping review
http://id.who.int/icd/entity/1874889854	# Muscles of head and neck region ; OPMD scoping review
http://id.who.int/icd/entity/405925948 # External ocular muscles ; OPMD scoping review
http://id.who.int/icd/entity/1571232890	# Intercostal muscles ; OPMD scoping review
http://id.who.int/icd/entity/1250916538	# Diaphragm  ; OPMD scoping review
http://id.who.int/icd/entity/495844982 # Muscles of respiration ; OPMD scoping review
http://id.who.int/icd/entity/1794398084	# Muscles of thigh ; OPMD scoping review
http://id.who.int/icd/entity/1867012554	# Muscles of upper arm ; OPMD scoping review
http://id.who.int/icd/entity/278512890 # Muscles of shoulder region ; OPMD scoping review
http://id.who.int/icd/entity/338611549 # Muscles of lower leg ; OPMD scoping review
http://id.who.int/icd/entity/1278239861	# Muscles of ankle and foot ; OPMD scoping review
http://id.who.int/icd/entity/294830867 # Muscles of forearm ; OPMD scoping review
http://id.who.int/icd/entity/1233939003	# Muscles of hand ; OPMD scoping review
http://id.who.int/icd/entity/644658903 # Structures related to movement ; OPMD scoping review
http://id.who.int/icd/entity/829058183 # Structure of respiratory system ; OPMD scoping review
http://id.who.int/icd/entity/246722870 # Structures around eye ; OPMD scoping review
http://id.who.int/icd/entity/1843740951	# The eye, ear and related structures ; OPMD scoping review
http://id.who.int/icd/entity/1874889854	# Muscles of head and neck region ; OPMD scoping review
http://id.who.int/icd/entity/278512890 # Muscles of shoulder region ; OPMD scoping review
http://id.who.int/icd/entity/58064740 # Muscles of trunk ; OPMD scoping review
http://id.who.int/icd/entity/435521956 # Structure of thigh ; OPMD scoping review
http://id.who.int/icd/entity/640373779 # Structure of upper arm ; OPMD scoping review
http://id.who.int/icd/entity/249425252 # Structure of lower leg ; OPMD scoping review
http://id.who.int/icd/entity/933576740 # Structure of ankle and foot ; OPMD scoping review
http://id.who.int/icd/entity/822292691 # Structure of forearm ; OPMD scoping review
http://id.who.int/icd/entity/142318995 # Structure of hand ; OPMD scoping review
http://id.who.int/icd/entity/256519617 # Walking on different surfaces ; OPMD scoping review
http://id.who.int/icd/entity/409094401 # Walking around obstacles ; OPMD scoping review
http://id.who.int/icd/entity/193884831 # Lying down ; OPMD scoping review
http://id.who.int/icd/entity/480646751 # Squatting ; OPMD scoping review
http://id.who.int/icd/entity/635353887 # Kneeling ; OPMD scoping review
http://id.who.int/icd/entity/855039967 # Sitting ; OPMD scoping review
http://id.who.int/icd/entity/1462755743	# Standing ; OPMD scoping review
http://id.who.int/icd/entity/1074234719	# Bending ; OPMD scoping review
http://id.who.int/icd/entity/2038376479	# Shifting the body's centre of gravity ; OPMD scoping review
http://id.who.int/icd/entity/1851215071	# Rolling over ; OPMD scoping review
http://id.who.int/icd/entity/555410497 # Walking short distances ; OPMD scoping review
http://id.who.int/icd/entity/1550548595	# Walking ; OPMD scoping review
http://id.who.int/icd/entity/1334556216	# Walking and moving ; OPMD scoping review
http://id.who.int/icd/entity/150502901 # Changing basic body position ; OPMD scoping review
http://id.who.int/icd/entity/1266389839	# Changing and maintaining body position ; OPMD scoping review
http://id.who.int/icd/entity/793188683 # s7402 Muscles of pelvic region ; OPMD scoping review
http://id.who.int/icd/entity/1328675264 # d550 Eating
http://id.who.int/icd/entity/161488596 # Neuromusculoskeletal and movement-related functions
http://id.who.int/icd/entity/521411479 # s75002 Muscles of thigh
http://id.who.int/icd/entity/576915490 # b755 Involuntary movement reaction functions
http://id.who.int/icd/entity/68679181 # s2601 Vestibular labyrinth
