defined_class	phenotype	structure
FMA:13354	HP:0004878	http://id.who.int/icd/entity/1571232890
FMA:22428	HP:0003731	http://id.who.int/icd/entity/521411479
FMA:22470	HP:0008994	http://id.who.int/icd/entity/521411479
FMA:22470	HP:0033416	
FMA:22470	HP:0012515	
FMA:22471	HP:0009053	http://id.who.int/icd/entity/338611549
FMA:22471	HP:0011727	
FMA:22471	HP:0031374	
FMA:22532	HP:0008963	http://id.who.int/icd/entity/338611549
FMA:323229	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:33531	HP:0008997	http://id.who.int/icd/entity/278512890
FMA:33531	HP:0003547	
FMA:33531	HP:0003325	
FMA:37367	HP:0008994	http://id.who.int/icd/entity/793188683
FMA:37367	HP:0003749	
FMA:37367	HP:0003325	
FMA:37367	HP:0008988	
FMA:37369	HP:0009053	http://id.who.int/icd/entity/1278239861
FMA:37369	HP:0009027	
FMA:37370	HP:0008997	http://id.who.int/icd/entity/1867012554
FMA:37371	HP:0008959	http://id.who.int/icd/entity/294830867
FMA:37372	HP:0008959	http://id.who.int/icd/entity/1233939003
FMA:37372	HP:0030237	
FMA:37372	HP:0033466	
FMA:37383	HP:0031177	http://id.who.int/icd/entity/1233939003
FMA:37424	HP:0003392	http://id.who.int/icd/entity/1233939003
FMA:37688	HP:0031108	http://id.who.int/icd/entity/1867012554
FMA:38500	HP:0009077	http://id.who.int/icd/entity/1233939003
FMA:42380	HP:0009005	http://id.who.int/icd/entity/1233939003
FMA:46689	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:46689	HP:0000183	
FMA:46751	HP:0030319	http://id.who.int/icd/entity/1874889854
FMA:46834	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:48996	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:49006	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:49033	HP:0007715	http://id.who.int/icd/entity/405925948
FMA:49033	HP:0000597	
FMA:49033	HP:0000651	
FMA:49033	HP:0000602	
FMA:49033	HP:0000544	
FMA:49033	HP:0000508	
FMA:49033		http://id.who.int/icd/entity/1874889854
FMA:51099	HP:0008963	http://id.who.int/icd/entity/338611549
FMA:58274	HP:0009023	http://id.who.int/icd/entity/58064740
FMA:64916	HP:0003427	http://id.who.int/icd/entity/1233939003
FMA:74060	HP:0005216	http://id.who.int/icd/entity/1874889854
FMA:7490	HP:0002828	http://id.who.int/icd/entity/462923277 
FMA:9617	HP:0000467	http://id.who.int/icd/entity/1874889854
FMA:9617	HP:0003722	
FMA:9620	HP:0009023	http://id.who.int/icd/entity/58064740
