defined_class	phenotype
http://www.orpha.net/ORDO/Orphanet_270	HP:0000467
http://www.orpha.net/ORDO/Orphanet_270	HP:0030319
http://www.orpha.net/ORDO/Orphanet_270	HP:0007715
http://www.orpha.net/ORDO/Orphanet_270	HP:0000597
http://www.orpha.net/ORDO/Orphanet_270	HP:0004878
http://www.orpha.net/ORDO/Orphanet_270	HP:0009023
http://www.orpha.net/ORDO/Orphanet_270	HP:0003327
http://www.orpha.net/ORDO/Orphanet_270	HP:0003722
http://www.orpha.net/ORDO/Orphanet_270	HP:0002141
http://www.orpha.net/ORDO/Orphanet_270	HP:0002172
http://www.orpha.net/ORDO/Orphanet_270	HP:0002317
http://www.orpha.net/ORDO/Orphanet_270	HP:0003551
http://www.orpha.net/ORDO/Orphanet_270	HP:0033235
http://www.orpha.net/ORDO/Orphanet_270	HP:0008994
http://www.orpha.net/ORDO/Orphanet_270	HP:0003749
http://www.orpha.net/ORDO/Orphanet_270	HP:0003731
http://www.orpha.net/ORDO/Orphanet_270	HP:0033416
http://www.orpha.net/ORDO/Orphanet_270	HP:0012515
http://www.orpha.net/ORDO/Orphanet_270	HP:0008997
http://www.orpha.net/ORDO/Orphanet_270	HP:0003547
http://www.orpha.net/ORDO/Orphanet_270	HP:0031108
http://www.orpha.net/ORDO/Orphanet_270	HP:0009053
http://www.orpha.net/ORDO/Orphanet_270	HP:0009027
http://www.orpha.net/ORDO/Orphanet_270	HP:0011727
http://www.orpha.net/ORDO/Orphanet_270	HP:0008963
http://www.orpha.net/ORDO/Orphanet_270	HP:0031374
http://www.orpha.net/ORDO/Orphanet_270	HP:0008959
http://www.orpha.net/ORDO/Orphanet_270	HP:0030237
http://www.orpha.net/ORDO/Orphanet_270	HP:0009077
http://www.orpha.net/ORDO/Orphanet_270	HP:0009005
http://www.orpha.net/ORDO/Orphanet_270	HP:0031177
http://www.orpha.net/ORDO/Orphanet_270	HP:0003392
http://www.orpha.net/ORDO/Orphanet_270	HP:0003427
http://www.orpha.net/ORDO/Orphanet_270	HP:0003701
http://www.orpha.net/ORDO/Orphanet_270	HP:0002460
http://www.orpha.net/ORDO/Orphanet_270	HP:0007340
http://www.orpha.net/ORDO/Orphanet_270	HP:0003483
http://www.orpha.net/ORDO/Orphanet_270	HP:0003325
http://www.orpha.net/ORDO/Orphanet_270	HP:0003690
http://www.orpha.net/ORDO/Orphanet_270	HP:0009063
http://www.orpha.net/ORDO/Orphanet_270	HP:0009073
http://www.orpha.net/ORDO/Orphanet_270	HP:0001324
http://www.orpha.net/ORDO/Orphanet_270	HP:0003323
http://www.orpha.net/ORDO/Orphanet_270	HP:0005216
http://www.orpha.net/ORDO/Orphanet_270	HP:0030842
http://www.orpha.net/ORDO/Orphanet_270	HP:0031146
http://www.orpha.net/ORDO/Orphanet_270	HP:0031162
http://www.orpha.net/ORDO/Orphanet_270	HP:0032043
http://www.orpha.net/ORDO/Orphanet_270	HP:0002015
http://www.orpha.net/ORDO/Orphanet_270	HP:0002068
http://www.orpha.net/ORDO/Orphanet_270	HP:0200136
http://www.orpha.net/ORDO/Orphanet_270	HP:0002098
http://www.orpha.net/ORDO/Orphanet_270	HP:0002094
http://www.orpha.net/ORDO/Orphanet_270	HP:0002747
http://www.orpha.net/ORDO/Orphanet_270	HP:0002093
http://www.orpha.net/ORDO/Orphanet_270	HP:0004347
http://www.orpha.net/ORDO/Orphanet_270	HP:0032341
http://www.orpha.net/ORDO/Orphanet_270	HP:0001288
http://www.orpha.net/ORDO/Orphanet_270	HP:0000651
http://www.orpha.net/ORDO/Orphanet_270	HP:0001618
http://www.orpha.net/ORDO/Orphanet_270	HP:0001609
http://www.orpha.net/ORDO/Orphanet_270	HP:0033695
http://www.orpha.net/ORDO/Orphanet_270	HP:0012378
http://www.orpha.net/ORDO/Orphanet_270	HP:0031058
http://www.orpha.net/ORDO/Orphanet_270	HP:0000602
http://www.orpha.net/ORDO/Orphanet_270	HP:0000544
http://www.orpha.net/ORDO/Orphanet_270	HP:0012531
http://www.orpha.net/ORDO/Orphanet_270	HP:0033667
http://www.orpha.net/ORDO/Orphanet_270	HP:0000508
http://www.orpha.net/ORDO/Orphanet_270	HP:0000183
http://www.orpha.net/ORDO/Orphanet_270	HP:6001011
http://www.orpha.net/ORDO/Orphanet_270	HP:0011968
http://www.orpha.net/ORDO/Orphanet_270	HP:0003236
http://www.orpha.net/ORDO/Orphanet_270	HP:0007838
http://www.orpha.net/ORDO/Orphanet_270	HP:0012473
http://www.orpha.net/ORDO/Orphanet_270	HP:0001611
http://www.orpha.net/ORDO/Orphanet_270	HP:0001260
http://www.orpha.net/ORDO/Orphanet_270	HP:0008988
http://www.orpha.net/ORDO/Orphanet_270	HP:0008997
http://www.orpha.net/ORDO/Orphanet_270	HP:0012735
http://www.orpha.net/ORDO/Orphanet_270	HP:0033466
http://www.orpha.net/ORDO/Orphanet_270	HP:0003458
http://www.orpha.net/ORDO/Orphanet_270	HP:0012497
http://www.orpha.net/ORDO/Orphanet_590	HP:0002828
http://www.orpha.net/ORDO/Orphanet_590	HP:0002483
http://www.orpha.net/ORDO/Orphanet_590	HP:0005216
http://www.orpha.net/ORDO/Orphanet_590	HP:0030193
http://www.orpha.net/ORDO/Orphanet_590	HP:0001270
http://www.orpha.net/ORDO/Orphanet_590	HP:0031936
http://www.orpha.net/ORDO/Orphanet_590	HP:0033580
http://www.orpha.net/ORDO/Orphanet_590	PROMOT:0000106
http://www.orpha.net/ORDO/Orphanet_590	HP:0002015
http://www.orpha.net/ORDO/Orphanet_590	HP:0002068
http://www.orpha.net/ORDO/Orphanet_590	HP:0200136
http://www.orpha.net/ORDO/Orphanet_590	HP:0001618
http://www.orpha.net/ORDO/Orphanet_590	HP:0001609
http://www.orpha.net/ORDO/Orphanet_590	HP:0030000
http://www.orpha.net/ORDO/Orphanet_590	HP:0003398
http://www.orpha.net/ORDO/Orphanet_590	HP:0003458
http://www.orpha.net/ORDO/Orphanet_590	HP:0003445
http://www.orpha.net/ORDO/Orphanet_590	HP:0003403
http://www.orpha.net/ORDO/Orphanet_590	HP:0011968
http://www.orpha.net/ORDO/Orphanet_590	HP:0008872
http://www.orpha.net/ORDO/Orphanet_590	HP:0002033
http://www.orpha.net/ORDO/Orphanet_590	HP:0031914
http://www.orpha.net/ORDO/Orphanet_590	HP:0003323
http://www.orpha.net/ORDO/Orphanet_590	HP:0001288
http://www.orpha.net/ORDO/Orphanet_590	HP:0002515
http://www.orpha.net/ORDO/Orphanet_590	HP:0002359
http://www.orpha.net/ORDO/Orphanet_590	HP:0002540
http://www.orpha.net/ORDO/Orphanet_590	HP:0009046
http://www.orpha.net/ORDO/Orphanet_590	HP:0002505
