defined_class	source	function	activity
HP:0000467	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0030319	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1328675264
HP:0007715	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0000597	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0000597		http://id.who.int/icd/entity/1090716697	
HP:0004878	OPMD Scoping review	http://id.who.int/icd/entity/556694745	
HP:0009023	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003327	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0003722	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0002141	OPMD Scoping review	http://id.who.int/icd/entity/576915490	http://id.who.int/icd/entity/1550548595
HP:0002141		http://id.who.int/icd/entity/1831985718	http://id.who.int/icd/entity/409094401
HP:0002172	OPMD Scoping review		http://id.who.int/icd/entity/2048203604
HP:0002317	OPMD Scoping review		http://id.who.int/icd/entity/2048203604
HP:0003551	OPMD Scoping review		http://id.who.int/icd/entity/1993770860
HP:0033235	OPMD Scoping review		http://id.who.int/icd/entity/1993770860
HP:0008994	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0003749	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0003731	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0033416	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0012515	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0008997	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003547	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0031108	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009053	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009027	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0011727	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0008963	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0031374	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0008959	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0030237	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009077	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009005	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0031177	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003392	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003427	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003701	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0002460	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0007340	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0003484	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003325	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003690	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009063	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0009073	OPMD Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0001324	OPMD Scoping review		
HP:0003323	OPMD Scoping review		
HP:0005216	OPMD Article	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1328675264
HP:0005216		http://id.who.int/icd/entity/1389818830	
HP:0030842	OPMD Article		http://id.who.int/icd/entity/1328675264
HP:0031146	OPMD Article		http://id.who.int/icd/entity/1328675264
