defined_class	phenotype	function	activity	structure
http://snomed.info/id/84100007	HP:0009023	http://id.who.int/icd/entity/1789365017		
http://snomed.info/id/84100007	HP:0001713			
http://snomed.info/id/84100007	HP:0030872			
http://snomed.info/id/84100007	HP:0040081			
http://snomed.info/id/84100007	HP:0001627			
http://snomed.info/id/84100007	HP:0004303			
http://snomed.info/id/84100007	HP:0007695			
http://snomed.info/id/84100007	HP:0031826			
http://snomed.info/id/84100007	HP:0001547			
http://snomed.info/id/84100007	HP:0000496			
http://snomed.info/id/84100007	HP:0031374			
http://snomed.info/id/84100007	HP:0002104			
http://snomed.info/id/84100007	HP:0005949			
http://snomed.info/id/84100007	HP:0001284			
http://snomed.info/id/84100007	HP:0002522			
http://snomed.info/id/84100007	HP:0002804			
http://snomed.info/id/84100007	HP:0003327			
http://snomed.info/id/84100007	HP:0002483			
http://snomed.info/id/84100007	HP:0030842			
http://snomed.info/id/84100007	HP:0001374			
http://snomed.info/id/84100007	HP:0000028			
http://snomed.info/id/84100007	HP:0001558			
http://snomed.info/id/84100007	HP:0000886			
http://snomed.info/id/84100007	HP:0025156			
http://snomed.info/id/84100007	HP:0033994			
http://snomed.info/id/84100007	HP:0009046			
http://snomed.info/id/84100007	HP:0000651			
http://snomed.info/id/84100007	HP:0009053			
http://snomed.info/id/84100007	HP:0002460			
http://snomed.info/id/84100007	HP:0008959			
http://snomed.info/id/84100007	PROMOT:0000106			
http://snomed.info/id/84100007	HP:0001260			
http://snomed.info/id/84100007	HP:0001618			
http://snomed.info/id/84100007	HP:0002094			
http://snomed.info/id/84100007	HP:0003236			
http://snomed.info/id/84100007	HP:0030000			
http://snomed.info/id/84100007	HP:0003457			
http://snomed.info/id/84100007	HP:0003403			
http://snomed.info/id/84100007	HP:0003458			
http://snomed.info/id/84100007	HP:0003445			
http://snomed.info/id/84100007	HP:0004885			
http://snomed.info/id/84100007	HP:0000544			
http://snomed.info/id/84100007	HP:0001508			
http://snomed.info/id/84100007	HP:0001531			
http://snomed.info/id/84100007	HP:0030192			
http://snomed.info/id/84100007	HP:0030193			
http://snomed.info/id/84100007	HP:0030198			
http://snomed.info/id/84100007	HP:0030199			
http://snomed.info/id/84100007	HP:0030196			
http://snomed.info/id/84100007	HP:0030197			
http://snomed.info/id/84100007	HP:0030194			
http://snomed.info/id/84100007	HP:0030195			
http://snomed.info/id/84100007	HP:0030200			
http://snomed.info/id/84100007	HP:0030202			
http://snomed.info/id/84100007	HP:0011968			
http://snomed.info/id/84100007	HP:0008872			
http://snomed.info/id/84100007	HP:0001989			
http://snomed.info/id/84100007	HP:0031177			
http://snomed.info/id/84100007	HP:0003392			
http://snomed.info/id/84100007	HP:0009027			
http://snomed.info/id/84100007	HP:0002359			
http://snomed.info/id/84100007	HP:0001288			
http://snomed.info/id/84100007	HP:0030884			
http://snomed.info/id/84100007	HP:0011471			
http://snomed.info/id/84100007	HP:0009028			
http://snomed.info/id/84100007	HP:0003391			
http://snomed.info/id/84100007	HP:0030237			
http://snomed.info/id/84100007	HP:0000218			
http://snomed.info/id/84100007	HP:0002705			
http://snomed.info/id/84100007	HP:0033416			
http://snomed.info/id/84100007	HP:0012515			
http://snomed.info/id/84100007	HP:0003749			
http://snomed.info/id/84100007	HP:0001609			
http://snomed.info/id/84100007	HP:0003307			
http://snomed.info/id/84100007	HP:0001611			
http://snomed.info/id/84100007	HP:0001265			
http://snomed.info/id/84100007	HP:0002600			
http://snomed.info/id/84100007	HP:0001252			
http://snomed.info/id/84100007	HP:0031063			
http://snomed.info/id/84100007	HP:0005216			
http://snomed.info/id/84100007	HP:0031146			
http://snomed.info/id/84100007	HP:0031162			
http://snomed.info/id/84100007	HP:0002540			
http://snomed.info/id/84100007	HP:0001249			
http://snomed.info/id/84100007	HP:0004878			
http://snomed.info/id/84100007	HP:0004889			
http://snomed.info/id/84100007	HP:0001387			
http://snomed.info/id/84100007	HP:0002751			
http://snomed.info/id/84100007	HP:0002808			
http://snomed.info/id/84100007	HP:0003810			
http://snomed.info/id/84100007	HP:0003694			
http://snomed.info/id/84100007	HP:0003690			
http://snomed.info/id/84100007	HP:0003325			
http://snomed.info/id/84100007	HP:0007941			
http://snomed.info/id/84100007	HP:0000276			
http://snomed.info/id/84100007	HP:0002505			
http://snomed.info/id/84100007	HP:0007340			
http://snomed.info/id/84100007	HP:0002047			
http://snomed.info/id/84100007	HP:0008180			
http://snomed.info/id/84100007	HP:0001270			
http://snomed.info/id/84100007	HP:0002828			
http://snomed.info/id/84100007	HP:0003394			
http://snomed.info/id/84100007	HP:0003552			
http://snomed.info/id/84100007	HP:0001324			
http://snomed.info/id/84100007	HP:0003326			
http://snomed.info/id/84100007	HP:0002058			
http://snomed.info/id/84100007	HP:0000774			
http://snomed.info/id/84100007	HP:0040288			
http://snomed.info/id/84100007	HP:0011470			
http://snomed.info/id/84100007	HP:0003722			
http://snomed.info/id/84100007	HP:0000467			
http://snomed.info/id/84100007	HP:0012768			
http://snomed.info/id/84100007	HP:0001319			
http://snomed.info/id/84100007	HP:0002643			
http://snomed.info/id/84100007	HP:0032043			
http://snomed.info/id/84100007	HP:0000597			
http://snomed.info/id/84100007	HP:0000602			
http://snomed.info/id/84100007	HP:0000768			
http://snomed.info/id/84100007	HP:0000767			
http://snomed.info/id/84100007	HP:0008988			
http://snomed.info/id/84100007	HP:0003749			
http://snomed.info/id/84100007	HP:0011727			
http://snomed.info/id/84100007	HP:0001761			
http://snomed.info/id/84100007	HP:0002033			
http://snomed.info/id/84100007	HP:0002172			
http://snomed.info/id/84100007	HP:0001622			
http://snomed.info/id/84100007	HP:0009063			
http://snomed.info/id/84100007	HP:0003323			
http://snomed.info/id/84100007	HP:0009073			
http://snomed.info/id/84100007	HP:0007838			
http://snomed.info/id/84100007	HP:0003701			
http://snomed.info/id/84100007	HP:0008994			
http://snomed.info/id/84100007	HP:0008997			
http://snomed.info/id/84100007	HP:0000508			
http://snomed.info/id/84100007	HP:0003731		
http://snomed.info/id/84100007	HP:0032341			
http://snomed.info/id/84100007	HP:0012497			
http://snomed.info/id/84100007	HP:0001315			
http://snomed.info/id/84100007	HP:0002098			
http://snomed.info/id/84100007	HP:0002878			
http://snomed.info/id/84100007	HP:0004887			
http://snomed.info/id/84100007	HP:0002093			
http://snomed.info/id/84100007	HP:0002747			
http://snomed.info/id/84100007	HP:0003691			
http://snomed.info/id/84100007	HP:0002650			
http://snomed.info/id/84100007	HP:0003547			
http://snomed.info/id/84100007	HP:0030006			
http://snomed.info/id/84100007	HP:0030211			
http://snomed.info/id/84100007	HP:0003306			
http://snomed.info/id/84100007	HP:0000486			
http://snomed.info/id/84100007	HP:0002882			
http://snomed.info/id/84100007	HP:0003427			
http://snomed.info/id/84100007	HP:6000327			
http://snomed.info/id/84100007	HP:0008963			
http://snomed.info/id/84100007	HP:0012473			
http://snomed.info/id/84100007	HP:0000183			
http://snomed.info/id/84100007	HP:0031108			
http://snomed.info/id/84100007	HP:0033454			
http://snomed.info/id/84100007	HP:0030203			
http://snomed.info/id/84100007	HP:0002317			
http://snomed.info/id/84100007	HP:0003484			
http://snomed.info/id/84100007	HP:0002515			
http://snomed.info/id/84100007	HP:0001612			
http://snomed.info/id/84100007	HP:0007715			
http://snomed.info/id/84100007	HP:0033466			
http://snomed.info/id/84100007	HP:0030319			
http://snomed.info/id/84100007	HP:0009077			
http://snomed.info/id/84100007	HP:0004347			
http://snomed.info/id/84100007	HP:0009005			
http://snomed.info/id/84100007	HP:6001011			
http://snomed.info/id/12894003	HP:0003327	http://id.who.int/icd/entity/1789365017		
http://snomed.info/id/12894003	HP:0009053			
http://snomed.info/id/12894003	HP:0002460			
http://snomed.info/id/12894003	HP:0008959			
http://snomed.info/id/252482003	HP:0003551	http://id.who.int/icd/entity/161488596	http://id.who.int/icd/entity/1993770860	http://id.who.int/icd/entity/644658903
http://snomed.info/id/252482003	HP:0033235			
http://snomed.info/id/445993006	HP:0031177	http://id.who.int/icd/entity/1789365017		
http://snomed.info/id/445993006	HP:0030237			
http://snomed.info/id/445993006	HP:0033466			
http://snomed.info/id/445993006	HP:0009005			
