defined_class	information
PROMOT:0000028	NCBITaxon:9606
PROMOT:0000028	http://snomed.info/id/184099003
PROMOT:0000028	PROMOT:0000038
PROMOT:0000028	http://snomed.info/id/399753006
PROMOT:0000028	PROMOT:0000040
PROMOT:0000028	PROMOT:0000066
PROMOT:0000028	PROMOT:0000041
PROMOT:0000028	PROMOT:0000043
PROMOT:0000028	http://snomed.info/id/184305005 
PROMOT:0000028	PROMOT:0000042
PROMOT:0000029	PROMOT:0000025
PROMOT:0000029	http://snomed.info/id/399423000 
PROMOT:0000029	http://snomed.info/id/315354004 
PROMOT:0000029	http://snomed.info/id/57427004 
PROMOT:0000029	http://snomed.info/id/424850005 
PROMOT:0000029	http://snomed.info/id/423493009 
PROMOT:0000029	http://snomed.info/id/432213005
PROMOT:0000029	PROMOT:0000039
PROMOT:0000029	http://snomed.info/id/406543005
PROMOT:0000029	http://snomed.info/id/27113001 
PROMOT:0000029	http://snomed.info/id/1153637007 
PROMOT:0000029	http://snomed.info/id/60621009 
PROMOT:0000029	http://snomed.info/id/398192003 
PROMOT:0000029	http://snomed.info/id/33821000087103
PROMOT:0000029	http://snomed.info/id/186034007 
PROMOT:0000029	http://snomed.info/id/184104002 
PROMOT:0000029	http://snomed.info/id/224288002 
PROMOT:0000029	http://snomed.info/id/125680007 
PROMOT:0000029	http://snomed.info/id/224118004 
PROMOT:0000029	PROMOT:0000077
PROMOT:0000029	PROMOT:0000078
PROMOT:0000030	HP:0000118
PROMOT:0000030	http://snomed.info/id/298059007
PROMOT:0000030	PROMOT:0000037
PROMOT:0000030	PROMOT:0000035
PROMOT:0000030	PROMOT:0000036
PROMOT:0000030	ECO:0006151
PROMOT:0000031	http://snomed.info/id/128927009
PROMOT:0000031	http://snomed.info/id/439272007
PROMOT:0000031	PROMOT:0000033
PROMOT:0000032	PROMOT:0000097
PROMOT:0000032	PROMOT:0000098
PROMOT:0000032	PROMOT:0000089
PROMOT:0000032	PROMOT:0000096
