defined_class	phenotype	function	activity
http://id.who.int/icd/entity/1233939003	HP:0008959	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/1233939003	HP:0030237		
http://id.who.int/icd/entity/1233939003	HP:0009077		
http://id.who.int/icd/entity/1233939003	HP:0009005		
http://id.who.int/icd/entity/1233939003	HP:0031177		
http://id.who.int/icd/entity/1233939003	HP:0003392		
http://id.who.int/icd/entity/1233939003	HP:0003427		
http://id.who.int/icd/entity/1233939003	HP:0033466		
http://id.who.int/icd/entity/1278239861	HP:0009053	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/1278239861	HP:0009027		
http://id.who.int/icd/entity/1278239861	HP:0031374		
http://id.who.int/icd/entity/1571232890	HP:0004878	http://id.who.int/icd/entity/556694745	
http://id.who.int/icd/entity/1867012554	HP:0008997	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/1867012554	HP:0031108		
http://id.who.int/icd/entity/1874889854	HP:0000467	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/1874889854	HP:0030319		http://id.who.int/icd/entity/1328675264
http://id.who.int/icd/entity/1874889854	HP:0003722	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/553784299
http://id.who.int/icd/entity/1874889854	HP:0005216	http://id.who.int/icd/entity/1389818830	
http://id.who.int/icd/entity/1874889854		http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/1874889854	HP:0031146	http://id.who.int/icd/entity/1174312718	
http://id.who.int/icd/entity/1874889854			
http://id.who.int/icd/entity/1874889854	HP:0031162	http://id.who.int/icd/entity/1041382491	
http://id.who.int/icd/entity/1874889854		http://id.who.int/icd/entity/691689627	
http://id.who.int/icd/entity/1874889854	HP:0002015	http://id.who.int/icd/entity/923782542	
http://id.who.int/icd/entity/1874889854	HP:0002068		
http://id.who.int/icd/entity/1874889854	HP:0200136		
http://id.who.int/icd/entity/1874889854	HP:0000508		
http://id.who.int/icd/entity/1874889854	HP:0000183		
http://id.who.int/icd/entity/1874889854			
http://id.who.int/icd/entity/1874889854			
http://id.who.int/icd/entity/278512890	HP:0008997	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/278512890	HP:0003547		
http://id.who.int/icd/entity/278512890	HP:0003325		
http://id.who.int/icd/entity/294830867	HP:0008959	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/338611549	HP:0009053	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/338611549	HP:0011727		
http://id.who.int/icd/entity/338611549	HP:0008963		
http://id.who.int/icd/entity/338611549			
http://id.who.int/icd/entity/405925948	HP:0007715	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/405925948	HP:0000597		
http://id.who.int/icd/entity/405925948	HP:0000651	http://id.who.int/icd/entity/2022689055	
http://id.who.int/icd/entity/405925948	HP:0000602		
http://id.who.int/icd/entity/405925948		http://id.who.int/icd/entity/1090716697	
http://id.who.int/icd/entity/405925948	HP:0000544		
http://id.who.int/icd/entity/405925948			
http://id.who.int/icd/entity/405925948	HP:0000508	http://id.who.int/icd/entity/2021370201	
http://id.who.int/icd/entity/462923277 	HP:0002828	http://id.who.int/icd/entity/1757783224	
http://id.who.int/icd/entity/462923277 		http://id.who.int/icd/entity/1371343352	
http://id.who.int/icd/entity/495844982	HP:0002098	http://id.who.int/icd/entity/1360101629	
http://id.who.int/icd/entity/495844982	HP:0002094	http://id.who.int/icd/entity/1360101629	
http://id.who.int/icd/entity/495844982	HP:0002747		
http://id.who.int/icd/entity/495844982	HP:0002093		
http://id.who.int/icd/entity/495844982	HP:0004347		
http://id.who.int/icd/entity/495844982	HP:0032341		
http://id.who.int/icd/entity/521411479	HP:0008994	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/521411479	HP:0003731		
http://id.who.int/icd/entity/521411479	HP:0033416		
http://id.who.int/icd/entity/521411479	HP:0012515		
http://id.who.int/icd/entity/58064740	HP:0009023	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/58064740			
http://id.who.int/icd/entity/644658903	HP:0002141	http://id.who.int/icd/entity/576915490	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/644658903		http://id.who.int/icd/entity/1328466963	
http://id.who.int/icd/entity/68679181	HP:0002141	http://id.who.int/icd/entity/1831985718	
http://id.who.int/icd/entity/793188683	HP:0008994	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
http://id.who.int/icd/entity/793188683	HP:0003749		
http://id.who.int/icd/entity/793188683	HP:0003325		
http://id.who.int/icd/entity/793188683	HP:0008988		
http://id.who.int/icd/entity/870135798	HP:0002098	http://id.who.int/icd/entity/446199613	
http://id.who.int/icd/entity/870135798	HP:0002094		
http://id.who.int/icd/entity/870135798	HP:0002747		
http://id.who.int/icd/entity/870135798	HP:0002093		
http://id.who.int/icd/entity/870135798	HP:0004347		
http://id.who.int/icd/entity/870135798	HP:0032341		
