defined_class	function	structure
http://id.who.int/icd/entity/1328675264	http://id.who.int/icd/entity/1789365017	
http://id.who.int/icd/entity/150502901	http://id.who.int/icd/entity/556694745	
http://id.who.int/icd/entity/1993770860	http://id.who.int/icd/entity/161488596	
http://id.who.int/icd/entity/150502901	http://id.who.int/icd/entity/161488596	
http://id.who.int/icd/entity/555410497	http://id.who.int/icd/entity/161488596	
http://id.who.int/icd/entity/553784299	http://id.who.int/icd/entity/923782542	
http://id.who.int/icd/entity/1328675264	http://id.who.int/icd/entity/923782542	
http://id.who.int/icd/entity/553784299	http://id.who.int/icd/entity/1041382491	
http://id.who.int/icd/entity/1328675264	http://id.who.int/icd/entity/1041382491	
http://id.who.int/icd/entity/553784299	http://id.who.int/icd/entity/691689627	
http://id.who.int/icd/entity/1328675264	http://id.who.int/icd/entity/691689627	
