defined_class	disease	anatomy	structure	function	source
HP:0000467	MONDO:0008116	FMA:9617	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0030319	MONDO:0008116	FMA:46751	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0007715	MONDO:0008116	FMA:49033	http://id.who.int/icd/entity/405925948	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0000597	MONDO:0008116	FMA:49033	http://id.who.int/icd/entity/405925948	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0004878	MONDO:0008116	FMA:13354 	http://id.who.int/icd/entity/1571232890	http://id.who.int/icd/entity/556694745	OPMD Scoping review
HP:0009023	MONDO:0008116	FMA:9620 	http://id.who.int/icd/entity/58064740	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0009023		FMA:58274			
HP:0002141	MONDO:0008116		http://id.who.int/icd/entity/644658903	http://id.who.int/icd/entity/576915490	OPMD Scoping review
HP:0002141			http://id.who.int/icd/entity/68679181 	http://id.who.int/icd/entity/1831985718	
HP:0003551	MONDO:0008116				OPMD Scoping review
HP:0033235 	MONDO:0008116				OPMD Scoping review
HP:0008994	MONDO:0008116	FMA:37367	http://id.who.int/icd/entity/793188683	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0008994		FMA:22470	http://id.who.int/icd/entity/1794398084		
HP:0008987	MONDO:0008116	FMA:33531	http://id.who.int/icd/entity/278512890	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0008987		FMA:37370	http://id.who.int/icd/entity/1867012554		
HP:0009053	MONDO:0008116	FMA:37369	http://id.who.int/icd/entity/1278239861	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0009053		FMA:22471 	http://id.who.int/icd/entity/338611549		
HP:0008959	MONDO:0008116	FMA:37371	http://id.who.int/icd/entity/294830867	http://id.who.int/icd/entity/1789365017 	OPMD Scoping review
HP:0008959		FMA:37372	http://id.who.int/icd/entity/1233939003		
HP:0005216	MONDO:0008116	FMA:48996	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1389818830	OPMD Article
HP:0005216		FMA:46834		http://id.who.int/icd/entity/1789365017	
HP:0005216		FMA:46689			
HP:0005216		FMA:49006			
HP:0005216		FMA:74060			
HP:0030842	MONDO:0008116				OPMD Article
HP:0031146	MONDO:0008116				OPMD Article
HP:0031162	MONDO:0008116				OPMD Article
HP:0032043	MONDO:0008116				OPMD Article
HP:0002015	MONDO:0008116				OPMD Article
HP:0002141	MONDO:0008116				OPMD Survey
HP:0002098	MONDO:0008116		http://id.who.int/icd/entity/495844982	http://id.who.int/icd/entity/1360101629	OPMD Survey
HP:0002094	MONDO:0008116		http://id.who.int/icd/entity/870135798 	http://id.who.int/icd/entity/446199613	OPMD Survey
HP:0001288	MONDO:0008116			http://id.who.int/icd/entity/1328466963 	OPMD Survey
HP:0000651	MONDO:0008116				OPMD Survey
HP:0002015				http://id.who.int/icd/entity/923782542 	OPMD Survey
HP:0001618	MONDO:0008116			http://id.who.int/icd/entity/712570723	OPMD Survey
HP:0001618				http://id.who.int/icd/entity/2069371821	
HP:0001618				http://id.who.int/icd/entity/1109440237	
HP:0001618				http://id.who.int/icd/entity/1426641453	
HP:0001618				http://id.who.int/icd/entity/1034220517	
HP:0033695	MONDO:0008116				OPMD Survey
HP:0030319	MONDO:0008116	FMA:46751	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0012378	MONDO:0008116			http://id.who.int/icd/entity/1864074583 	OPMD Survey
HP:0031058	MONDO:0008116				OPMD Survey
HP:0007340	MONDO:0008116	FMA:9622	http://id.who.int/icd/entity/644658903	http://id.who.int/icd/entity/1407133273	OPMD Survey
HP:0007340		FMA:37367	http://id.who.int/icd/entity/793188683	http://id.who.int/icd/entity/1789365017 	
HP:0007340		FMA:22470	http://id.who.int/icd/entity/1794398084		
HP:0007340		FMA:22471	http://id.who.int/icd/entity/338611549		
HP:0007340		FMA:37369	http://id.who.int/icd/entity/1278239861		
HP:0008994	MONDO:0008116	FMA:37367	http://id.who.int/icd/entity/793188683	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0008994		FMA:22470	http://id.who.int/icd/entity/1794398084		
HP:0009053	MONDO:0008116	FMA:37368	http://id.who.int/icd/entity/338611549	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0009053		FMA:22471	http://id.who.int/icd/entity/1278239861		
HP:0009053		FMA:37369			
HP:0000602	MONDO:0008116				OPMD Survey
HP:0000544	MONDO:0008116				OPMD Survey
HP:0012531	MONDO:0008116			http://id.who.int/icd/entity/893697482	OPMD Survey
HP:0012531				http://id.who.int/icd/entity/299098423	
HP:0012531				http://id.who.int/icd/entity/117147127	
HP:0012531				http://id.who.int/icd/entity/1065560247	
HP:0012531				http://id.who.int/icd/entity/682314871	
HP:0012531				http://id.who.int/icd/entity/1299345975	
HP:0012531				http://id.who.int/icd/entity/1515853559	
HP:0012531				http://id.who.int/icd/entity/454325322	
HP:0033667	MONDO:0008116				OPMD Survey
HP:0000508	MONDO:0008116	FMA:49033	http://id.who.int/icd/entity/405925948	http://id.who.int/icd/entity/2021370201	OPMD Survey
HP:0000508			http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017	
HP:0000183	MONDO:0008116	FMA:46689	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0008959	MONDO:0008116	FMA:37371	http://id.who.int/icd/entity/294830867	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0008959		FMA:37372	http://id.who.int/icd/entity/1233939003		
HP:0008987	MONDO:0008116	FMA:33531	http://id.who.int/icd/entity/278512890	http://id.who.int/icd/entity/1789365017 	OPMD Survey
HP:0008987		FMA:37370	http://id.who.int/icd/entity/1867012554		
HP:6001011	MONDO:0008116			http://id.who.int/icd/entity/1846694084	OPMD Survey
HP:0002460	MONDO:0008116	FMA:37371	http://id.who.int/icd/entity/294830867	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0002460		FMA:37372	http://id.who.int/icd/entity/1233939003		
HP:0002460		FMA:37368	http://id.who.int/icd/entity/338611549		
HP:0002460		FMA:22471	http://id.who.int/icd/entity/1278239861		
HP:0002460		FMA:37369			
HP:0003701	MONDO:0008116	FMA:33531	http://id.who.int/icd/entity/278512890	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0003701		FMA:37370	http://id.who.int/icd/entity/1867012554		
HP:0003701		FMA:37367	http://id.who.int/icd/entity/793188683		
HP:0003701		FMA:22470	http://id.who.int/icd/entity/1794398084		
HP:0032342	MONDO:0008116		http://id.who.int/icd/entity/495844982	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0003805	MONDO:0008116				OPMD HPO
HP:0000006	MONDO:0008116				OPMD HPO
HP:0003327	MONDO:0008116				OPMD HPO
HP:0003325	MONDO:0008116	FMA:37367	http://id.who.int/icd/entity/278512890	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0003325			http://id.who.int/icd/entity/793188683		
HP:0003584	MONDO:0008116				OPMD HPO
HP:0011968	MONDO:0008116		http://id.who.int/icd/entity/256640543	http://id.who.int/icd/entity/2089171534	OPMD HPO
HP:0011968				http://id.who.int/icd/entity/1806589582	
HP:0011968				http://id.who.int/icd/entity/1389818830	
HP:0011968				http://id.who.int/icd/entity/1174312718	
HP:0011968				http://id.who.int/icd/entity/923782542	
HP:0011968				http://id.who.int/icd/entity/539470158	
HP:0003690	MONDO:0008116	FMA:32558	http://id.who.int/icd/entity/1019379329	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0003690			http://id.who.int/icd/entity/1929433903		
HP:0003676	MONDO:0008116				OPMD HPO
HP:0004303	MONDO:0008116				OPMD HPO
HP:0003198	MONDO:0008116				OPMD HPO
HP:0100304	MONDO:0008116				OPMD HPO
HP:0003236	MONDO:0008116				OPMD HPO
HP:0007838	MONDO:0008116	FMA:49033	http://id.who.int/icd/entity/405925948	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0012473	MONDO:0008116	FMA:46689	http://id.who.int/icd/entity/1874889854	http://id.who.int/icd/entity/1789365017 	OPMD HPO
HP:0012548	MONDO:0008116				OPMD HPO
HP:0012378					OPMD HPO
HP:0001618					OPMD HPO
HP:0030319					OPMD HPO
HP:0000467					OPMD HPO
HP:0000508					OPMD HPO
HP:0012531					OPMD HPO
