ID	Label FR	Label ES	Comment
ID	AL rdfs:label@fr	AL rdfs:label@es	A rdfs:comment
http://id.who.int/icd/entity/1019379329	Structure du membre supérieur	Estructura de la extremidad superior	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1034220517	Autres fonctions de vocalisation	Funciones alternativas de vocalización	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1040739675	Facilitateur LÉGER (léger, faible, ...) 5-24%	Facilitador LEVE (leve, bajo, escaso, ...) 5-24%	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1056705821	AUCUN obstacle (aucun, absence, négligeable, ...) 0-4%	NO hay barrera (ninguno, ausente, insignificante, ...) 0-4%	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1065560247	Douleur à l'estomac ou dans l'abdomen	Dolor en el estómago o en el abdomen	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/107371707	non précisée	no especificado [possible translation]	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1108927576	Structure de la région des épaules	Estructura de la región del hombro	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1109440237	Vitesse de la parole	Velocidad del habla	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1156247741	Difficulté en termes de performance, non précisée		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1164313611	Fonctions musculaires	Funciones musculares	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
