ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Domain,Range
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,DOMAIN,RANGE
PROMOT:1000001,found in,indicate the source from which the class was included for the model,,,,Juliette POTIER,Annotation property,,,,xsd:string
PROMOT:2000001,has location,,,,,Juliette POTIER,Object property,,,,
PROMOT:2000002,uses assistive equipment,"a relation between a human and an device, where the device is an assistive equipment used by the human in order to move or to accomplish something, such as a task or an activity.",,,,Juliette POTIER,Object property,,,Patient,
PROMOT:2000003,is assessed by,"a relation between a human and an evaluation procedure, where the human is assessed by an evaluation procedure, such as a test, a questionnaire or a scale.",,,,Juliette POTIER,Object property,,,Patient,
PROMOT:2000004,has date of birth,,,,,,Data property,,,,
PROMOT:2000005,has date of death,,,,,,Data property,,,,
PROMOT:2000006,has biological sex,,,,,,Data property,,,,
PROMOT:2000007,has age in year,,,,,,Data property,,,,
PROMOT:2000008,has identifier,,,,,,Data property,,,,
BIOLINK:affects,affects,Describes an entity that has an effect on the state or quality of another existing entity. ,https://bioportal.bioontology.org/ontologies/BIOLINK,,https://biolink.github.io/biolink-model/,,Object property,,,,
BIOLINK:affected_by,affected by,describes an entity of which the state or quality is affected by another existing entity. ,https://bioportal.bioontology.org/ontologies/BIOLINK,,https://biolink.github.io/biolink-model/,,Object property,,,,
BIOLINK:related_to,related to,A relationship that is asserted between two named things ,https://bioportal.bioontology.org/ontologies/BIOLINK,,https://biolink.github.io/biolink-model/,,Object property,,,,
BFO:0000031,,,,,,,,,,,
SO:0000704,gene,,,,,,,BFO:0000031|(RO:0004013 some mondo:0000001),,,
mondo:0000001,disease,,,,,,,(RO:0004003 some SO:0000704),,,
PROMOT:0000001,PABPN1,,,,,,,(RO:0004013 some mondo:0008116)| gene,,,
PROMOT:0000002,RYR1,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000003,TTN,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000004,NEB,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000005,MTM1,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000006,ACTA1,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000007,SELENON,,,,,,,(RO:0004013 some mondo:0019952)| gene,,,
PROMOT:0000008,CHRNE,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000009,DOK7,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000010,COLQ,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000011,RAPSN,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000012,GFPT1,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000013,GMPPB,,,,,,,(RO:0004013 some mondo:0018940)| gene,,,
PROMOT:0000014 ,human identifier ,An organism identifier that denotes a particular human. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:0000015,human biological sex information content entity ,A biological sex information content entity that denotes the biological sex of a human. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:0000016,civil death record ,A state sanctioned human death statement. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:0000017,human birth date ,A human birth temporal information that denotes a time interval of one day as defined in a calendar accepted in a human society. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:0000018,human death date ,A human death temporal information that denotes a time interval of one day as defined in a calendar accepted in a human society. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:0000019,living environment type ,An information content entity that aims at representing a type of living environment applicable to a primary residence. ,,https://openlhs.github.io/IOIO/,,,,,,,
PROMOT:3000101,Patient,Participant à l’étude PROMOT,,,,,,(RO:0002200 some HP:0000118)|(PROMOT:R000002 some SNOMED:360296002)|(VO:0001039 some SO:0000704),,,
PROMOT:I000001,Patient_Test,,,,,,Patient,,,,
