ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Domain,Range
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,DOMAIN,RANGE
BIOLINK:related_to,related to,,,,,,Object property,,,Phenotypic abnormality,Body structure
HP:0000118,Phenotypic abnormality,,,,,,,,,,
WHOFIC:1626363729,Body structure,,,,,,,,,,
FMA:9617,Muscle of neck,,(‘related to’ some WHOFIC:1874889854),s710 Structure of head and neck region,,,,,,,
FMA:46751,Muscle of face,,s7104 Muscles of head and neck region,s710 Structure of head and neck region,,,,,,,
,,,b7306 Power of all muscles of the body,,,,,,,,
FMA:49033,Extra ocular muscle,,s2303 External ocular muscles,s230 Structures around eye,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FMA:13354,Intercostal Muscle,,,,,,,,,,
FMA:9620,Muscle of abdomen,,,,,,,,,,
FMA:58274,Muscle of trunk,s43030 Intercostal muscles,s4303 Muscles of respiration,s430 Structure of respiratory system,,,,,,,
,,s43031 Diaphragm ,,,,,,,,,
,,,s7104 Muscles of head and neck region,s710 Structure of head and neck region,,,,,,,
,,,s7202 Muscles of shoulder region,s720 Structure of shoulder region,,,,,,,
,,,s7601 Muscles of trunk,s760 Structure of trunk,,,,,,,
FMA:37367,Muscle of pelvic gridle,,s7402 Muscles of pelvic region,s740 Structure of pelvic region,,,,,,,
FMA:22470,Muscle of thigh,s75002 Muscles of thigh,s7500 Structure of thigh,s750 Structure of lower extremity,,,,,,,
FMA:33531,Muscle of shoulder,,s7202 Muscles of shoulder region,s720 Structure of shoulder region,,,,,,,
FMA:37370,Muscle of arm,s73002 Muscles of upper arm,s7300 Structure of upper arm,s730 Structure of upper extremity,,,,,,,
FMA:37369,Muscle of foot,s75012 Muscles of lower leg,s7501 Structure of lower leg,s750 Structure of lower extremity,,,,,,,
FMA:22471,Muscle of leg,s75022 Muscles of ankle and foot,s7502 Structure of ankle and foot,,,,,,,,
,,,b7303 Power of muscles in lower half of the body,,,,,,,,
FMA:37371,Muscle of forearm,s73012 Muscles of forearm,s7301 Structure of forearm,s730 Structure of upper extremity,,,,,,,
FMA:37372,Muscle of hand,s73022 Muscles of hand,s7302 Structure of hand,,,,,,,,
