ID,Label FR,Label ES
ID,AL rdfs:label@fr,AL rdfs:label@es
http://id.who.int/icd/entity/567313968,Fonctions organiques,Funciones corporales
http://id.who.int/icd/entity/1363559646,Fonctions mentales,Funciones mentales
http://id.who.int/icd/entity/882590883,Fonctions mentales globales,Funciones mentales globales
http://id.who.int/icd/entity/723665457,Fonctions de l'énergie et des pulsions,Funciones de la energía y de los impulsos
http://id.who.int/icd/entity/1864074583,Niveau d'énergie,Nivel de energía
http://id.who.int/icd/entity/134464731,Fonctions mentales spécifiques,Funciones mentales específicas
http://id.who.int/icd/entity/1811133755,Fonctions mentales du langage,Funciones mentales del lenguaje
http://id.who.int/icd/entity/1819639191,Réception du langage,Recepción de lenguaje
http://id.who.int/icd/entity/75971722,Réception du langage parlé,Recepción de lenguaje oral
http://id.who.int/icd/entity/2069698903,Expression du langage,Expresión de lenguaje
http://id.who.int/icd/entity/2052957777,Expression du langage parlé,Expresión de lenguaje oral
http://id.who.int/icd/entity/1916167881,Fonctions sensorielles et douleur,Funciones sensoriales y dolor
http://id.who.int/icd/entity/890173921,Fonctions visuelles et fonctions connexes,Visión y funciones relacionadas
http://id.who.int/icd/entity/2031311308,Fonctions des annexes de l'œil,Funciones de las estructuras adyacentes al ojo
http://id.who.int/icd/entity/2021370201,Fonctions de la paupière,Funciones del párpado
http://id.who.int/icd/entity/1255154286,Fonctions de l'audition et fonctions vestibulaires,Funciones auditivas y vestibulares
http://id.who.int/icd/entity/1607952955,Fonctions vestibulaires,Función vestibular
http://id.who.int/icd/entity/1831985718,Fonction vestibulaire de l'équilibre,Función vestibular relacionada con el equilibrio
http://id.who.int/icd/entity/203515404,Douleur,Dolor
http://id.who.int/icd/entity/894218497,Sensation de douleur,Sensación de dolor
http://id.who.int/icd/entity/893697482,Douleur généralisée,Dolor generalizado
http://id.who.int/icd/entity/577558794,Douleur dans une partie du corps,Dolor en una parte del cuerpo
