ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Equivalent Class,Domain,Range,Individual has value
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,EC %,DOMAIN,RANGE,TI SIO:000300 exactly %
BFO:0000002,,,,,,,,,,,,,
PROMOT:0000001,mutation,,,,,,,BFO:0000002|(SIO:000217 some SIO:001268),,,,,
PROMOT:0000002,PABPN1,mutation located within the PABPN1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000003,RYR1,mutation located within the RYR1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000004,TTN,mutation located within the TTN gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000005,NEB,mutation located within the NEB gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000006,MTM1,mutation located within the MTM1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000007,ACTA1,mutation located within the ACTA1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000008,SELENON,mutation located within the SELENON gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000009,CHRNE,mutation located within the CHRNE gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000010,DOK7,mutation located within the DOK7 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000011,COLQ,mutation located within the COLQ gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000012,RAPSN,mutation located within the RAPSN gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000013,GFPT1,mutation located within the GFPT1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
PROMOT:0000014,GMPPB,mutation located within the GMPPB gene,,,,Juliette Potier,,PROMOT:0000001,,,,,
BFO:0000034,,,,,,,,,,,,,
