ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Domain,Range,Individual age
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,DOMAIN,RANGE,I age in years
RO:0002200,has phenotype,,,,,,Object property,,,Patient,Phenotypic abnormality,
PROMOT:R000002,uses assistive equipment,"a relation between a human and an device, where the device is an assistive equipment used by the human in order to move or to accomplish something, such as a task or an activity.",,,,Juliette POTIER,Object property,,,Patient,Assistive equipment (physical object) ,
PROMOT:R000001,is assessed by,"a relation between a human and an evaluation procedure, where the human is assessed by an evaluation procedure, such as a test, a questionnaire or a scale.",,,,Juliette POTIER,Object property,,,Patient,Evaluation procedure (procedure),
VO:0001039,has gene mutation,,,,,,Object property,,,Patient,gene,
PROMOT:R000006,has date of birth,,,,,,Data property,,,,,
PROMOT:R000007,has date of death,,,,,,Data property,,,,,
PROMOT:R000008,has biological sex,,,,,,Data property,,,,,
PROMOT:R000009,has age in year,,,,,,Data property,,,,,
PROMOT:R000010,has identifier,,,,,,Data property,,,,,
PROMOT:0000014 ,human identifier ,An organism identifier that denotes a particular human. ,,https://openlhs.github.io/IOIO/,,,,,,,,
PROMOT:0000011 ,human biological sex information content entity ,A biological sex information content entity that denotes the biological sex of a human. ,,https://openlhs.github.io/IOIO/,,,,,,,,
PROMOT:0000004 ,civil death record ,A state sanctioned human death statement. ,,https://openlhs.github.io/IOIO/,,,,,,,,
PROMOT:0000020 ,human birth date ,A human birth temporal information that denotes a time interval of one day as defined in a calendar accepted in a human society. ,,https://openlhs.github.io/IOIO/,,,,,,,,
PROMOT:0000021 ,human death date ,A human death temporal information that denotes a time interval of one day as defined in a calendar accepted in a human society. ,,https://openlhs.github.io/IOIO/,,,,,,,,
PROMOT:0000023 ,living environment type ,An information content entity that aims at representing a type of living environment applicable to a primary residence. ,,https://openlhs.github.io/IOIO/,,,,,,,,
SNOMED:183135000,Mobility aid (physical object),,,,,,,,,,,
SNOMED:360296002,Assistive equipment (physical object) ,,,,,,,,,,,
SO:0000704,gene,,,,,,,,,,,
HP:0000118,Phenotypic abnormality,,,,,,,,,,,
SNOMED:386053000,Evaluation procedure (procedure),,,,,,,,,,,
PROMOT:0000101,Patient,Participant à l’étude PROMOT,,,,,,(RO:0002200 some HP:0000118)|(PROMOT:R000002 some SNOMED:360296002)|(VO:0001039 some SO:0000704),,,,
PROMOT:I000001,Patient1,,,,,,Patient,,,,,
