ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Domain,Range
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,DOMAIN,RANGE
PROMOT:R000003,has location,,,,,Juliette POTIER,Object property,,,Phenotypic abnormality,Anatomical entity
HP:0000118,Phenotypic abnormality,,,,,,,,,,
FMA:62955,Anatomical entity,,,,,,,,,,
HP:0001324,Muscle weakness,,,,,,,(PROMOT:R000003 some FMA:5022),,,
HP:0000467,Neck muscle weakness,,,,,,,(PROMOT:R000003 some FMA:9617),,,
HP:0000508,Ptosis,,,,,,,(PROMOT:R000003 some FMA:49033),,,
HP:0000467,Neck muscle weakness,,,,,,,(PROMOT:R000003 some FMA:9617),,,
HP:0030319,Weakness of facial musculature,,,,,,,(PROMOT:R000003 some FMA:46751),,,
HP:0007715,Weak extraocular muscles,,,,,,,(PROMOT:R000003 some FMA:49033),,,
HP:0004878,Intercostal muscle weakness,,,,,,,(PROMOT:R000003 some FMA:13354),,,
HP:0009023,Abdominal wall muscle weakness,,,,,,,(PROMOT:R000003 some FMA:9620),,,
HP:0008994,Proximal muscle weakness in lower limbs,,,,,,,(PROMOT:R000003 some FMA:22470)|(PROMOT:R000003 some FMA:37367),,,
HP:0008987,Proximal muscle weakness in upper limbs,,,,,,,(PROMOT:R000003 some FMA:33531)|(PROMOT:R000003 some FMA:37370),,,
HP:0009053,Distal lower limb muscle weakness,,,,,,,(PROMOT:R000003 some FMA:37369)|(PROMOT:R000003 some FMA:22471),,,
HP:0008959,Distal upper limb muscle weakness,,,,,,,(PROMOT:R000003 some FMA:37371)|(PROMOT:R000003 some FMA:37372),,,
