ID	Label EN	Label EN annotation	Definition EN	Definition EN Source	Definition EN Comment	Commentaire	Commentaire	Commentaire	See Also	Term Editor	Commentaire	CrossRef	Change Note	Close match	Type	Parent Class	Equivalent Class	Domain	Range
ID	AL rdfs:label@en	>A rdfs:comment	AL IAO:0000115@en	>A IAO:0000119	>A rdfs:comment	A rdfs:comment	A rdfs:comment	A rdfs:comment	AI rdfs:seeAlso SPLIT=|	A IAO:0000117	A rdfs:comment SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	AL skos:changeNote@en	A skos:closeMatch SPLIT=|	TYPE	SC % SPLIT=|	EC %	DOMAIN	RANGE
ECO:0006151	documented statement evidence					[PROMOT note] [Derived from RD-CDM] [6.2.9 Evidence]					[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z		[PROMOT note] The PROMOT ontology added a comment to quote the CDMs used as a source for this entity. The original element is phenotypicfeature.evidence from GA4GH.		Class	IAO:0000030|(RO:0002614 some IAO:0000027)			
FMA:62955	Anatomical entity														Class	BFO:0000040			
HP:0000118	Phenotypic abnormality					[PROMOT note] [Derived from RD-CDM] [6.2.1 Phenotypic Feature]	[PROMOT note] [Derived from EURO-NMD NMD-CDE] 				[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.	http://snomed.info/id/8116006	[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity. A crossref to the orignal element has also been added.		Class	PROMOT:0032001|(RO:0000086 some PROMOT:0031007)|(RO:0000086 some HP:0012823)|(PROMOT:2000005 some SNOMED:128927009)			
HP:0012823	Clinical modifier					[PROMOT note] [Derived from RD-CDM] [6.2.1 Phenotypic Feature] 	[PROMOT note] [Derived from EURO-NMD NMD-CDE] 				[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class	BFO:0000019			
HP:0000005	Mode of inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class	BFO:0000019			
HP:0000006	Autosomal dominant inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0000007	Autosomal recessive inheritance						[PROMOT note] [Derived from EURO-NMD NMD-CDE] [gendia_inher]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0003674	Onset					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]	[PROMOT note] [Derived from EURO-NMD NMD-CDE] [age_at_onset]	[PROMOT note] [Derived from EU-CDE] [5.1. Age at onset]			[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.|[PROMOT note] [EU-CDE] Set of Common Data Elements, EU RD Platform [Internet]. [cited 2026 Jun 17]. Available from: https://eu-rd-platform.jrc.ec.europa.eu/set-of-common-data-elements_en		[PROMOT note] The PROMOT ontology added a comment to quote the CDMs used as a source for this entity.		Class	HP:0012823|(RO:0000080 some HP:0000118)			
HP:0003577	Congenital onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]	[PROMOT note] [Derived from EURO-NMD NMD-CDE] [age_at_onset]	[PROMOT note] [Derived from EU-CDE] [5.1. Age at onset]			[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.|[PROMOT note] [EU-CDE] Set of Common Data Elements, EU RD Platform [Internet]. [cited 2026 Jun 17]. Available from: https://eu-rd-platform.jrc.ec.europa.eu/set-of-common-data-elements_en		[PROMOT note] The PROMOT ontology added a comment to quote the CDMs used as a source for this entity.		Class				
HP:0003581	Adult onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category] 	[PROMOT note] [Derived from EURO-NMD NMD-CDE] [age_at_onset]				[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0003584	Late onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]					[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0003596	Middle age onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]					[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0011462	Young adult onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]					[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z		[PROMOT note] The PROMOT ontology added a comment to quote the CDM used as a source for this entity.		Class				
HP:0003623	Neonatal onset 					[PROMOT note] [Derived from RD-CDM] [6.2.5 Onset Category]	[PROMOT note] [Derived from EURO-NMD NMD-CDE] [age_at_onset]				[PROMOT note] [RD-CDM] Graefe, A.S.L., Hübner, M.R., Rehburg, F. et al. An ontology-based rare disease common data model harmonising international registries, FHIR, and Phenopackets. Sci Data 12, 234 (2025). https://doi.org/10.1038/s41597-025-04558-z|[PROMOT note] [EURO-NMD] Atalia A et al., EURO-NMD registry: federated FAIR infrastructure, innovative technologies and concepts of a patient-centred registry for rare neuromuscular disorders. Orphanet J Rare Dis. 2024 Feb 14;19(1):66. doi: 10.1186/s13023-024-03059-3. PMID: 38355534; PMCID: PMC10865673.		[PROMOT note] The PROMOT ontology added a comment to quote the CDMs used as a source for this entity.		Class				
