ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Equivalent Class,Domain,Range,Individual has value,Pheno Source
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,EC %,DOMAIN,RANGE,TI SIO:000300 exactly %,A PROMOT:1000001
BFO:0000001,,,,,,,,PROMOT:0000000,,,,,,
BFO:0000002,,,,,,,,,,,,,,
PROMOT:0000001,mutation,,,,,Juliette Potier,,BFO:0000002|(SIO:000217 some SIO:001268)|(RO:0004013 some PROMOT:1100001),,,,,,
PROMOT:0000002,PABPN1 mutation,Mutation located within the PABPN1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000003,RYR1 mutation,Mutation located within the RYR1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000004,TTN mutation,Mutation located within the TTN gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000005,NEB mutation,Mutation located within the NEB gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000006,MTM1 mutation,Mutation located within the MTM1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000007,ACTA1 mutation,Mutation located within the ACTA1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000008,SELENON mutation,Mutation located within the SELENON gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000009,CHRNE mutation,Mutation located within the CHRNE gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000010,DOK7 mutation,Mutation located within the DOK7 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000011,COLQ mutation,Mutation located within the COLQ gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000012,RAPSN mutation,Mutation located within the RAPSN gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000013,GFPT1 mutation,Mutation located within the GFPT1 gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
PROMOT:0000014,GMPPB mutation,Mutation located within the GMPPB gene,,,,Juliette Potier,,PROMOT:0000001,,,,,,
BFO:0000034,,,,,,,,,,,,,,
WHOFIC:567313968,,,,,,,,BFO:0000034,,,,,,
PROMOT:7000003,Phenotypically related body function,A body function related to a phenotype such that the body function is impacted by the phenotype existence.,(JP: unsure about definition),,,Juliette Potier,,WHOFIC:567313968|(BIOLINK:related_to some HP:0000118),,(WHOFIC:567313968 and (BIOLINK:related_to some HP:0000118)),,,,
BFO:0000028,,,,,,,,,,,,,,
WHOFIC:1626363729,,,,,,,,BFO:0000028,,,,,,
PROMOT:7000002,Phenotypically related body structure,A body structure related to a phenotype such that the body structure is the location of the phenotype.,(JP: unsure about definition),,,Juliette Potier,,WHOFIC:1626363729|(BIOLINK:related_to some HP:0000118),,(WHOFIC:1626363729 and (BIOLINK:related_to some HP:0000118)),,,,
BFO:0000040,,,,,,,,,,,,,,
FMA:62955,,,,,,,,BFO:0000040,,,,,,
FMA:50188,,,,,,,,FMA:62955,,,,,,
PROMOT:7000001,Phenotypically related anatomical entity,An anatomical entity related to a phenotype such that the anatomical entity is the location of the phenotype.,,,,Juliette Potier,,FMA:62955|(PROMOT:2000001 some HP:0000118)|(BIOLINK:related_to some WHOFIC:1626363729),,(FMA:62955 and (PROMOT:2000001 some HP:0000118)),,,,
BFO:0000019,,,,,,,,,,,,,,
WHOFIC:423829389,,,,,,,,BFO:0000019,,,,,,
SIO:000475,,,,,,,,BFO:0000019,,,,,,
